리뷰ID,제품군,제품명,날짜,가격,스킨타입,태그,대분류,소분류,정보밀도(대분류수),별점,긍부정,감성점수,매칭키워드,추출문장,clean_text,리뷰_평균점수,전체_매칭키워드
LL_250801_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.08.01,-,,,피부 고민 해결,트러블/모공,1,5점,부정,-1,좁쌀,각질 때문에 좁쌀이 계속 생겼는데,제가 평소에 로션을 잘안발라서 각질 때문에 좁쌀이 계속 생겼는데 이거 쓰고 조금 나아진거같아요,-1.0,좁쌀
LL_250802_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.08.02,-,,한달이상사용,"구매 가치/편의, 피부 고민 해결","상황/편의, 진정/장벽",5,5점,긍정,2,"데일리, 진정",아누아 어성초 70 데일리 로션은 진정 효과가 필요할 때마다 손이 가는 데일리템이에요,"아누아 어성초 70 데일리 로션은 진정 효과가 필요할 때마다 손이 가는 데일리템이에요. 성분도 깔끔하고 어성초가 70나 함유돼 있어서 예민하고 울긋불긋한 피부에 딱이에요. 제형은 묽은 로션 타입이라 부담 없이 바를 수 있고, 가볍게 흡수되면서도 속은 촉촉하게 채워주는 느낌이라 여름철에도 사용감이 너무 좋아요. 기초를 여러 단계 바르기 귀찮을 때 이 로션 하나만 발라도 수분감 충분해서 간편하게 케어할 수 있어요. 트러블이 올라올 때 사용해도 자극 없이 진정이 되고, 오히려 붉은기가 빠르게 가라앉아서 민감성 피부에도 정말 잘 맞는 제품이에요. 화장 전에 사용해도 밀림 없이 잘 어우러져서 데일리 로션으로 제격입니다. 200ml라 용량도 넉넉하고 펌프형이라 위생적이고 사용도 간편해서 재구매 의사 100! 피부 예민하거나 수분 진정템 찾는 분들께 강력 추천해요.",1.2,"가라앉, 데일리, 묽은, 민감, 밀림, 붉은기, 수분감, 예민, 자극, 재구매, 제형, 진정, 촉촉, 추천, 트러블, 펌프, 화장, 흡수"
LL_250802_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.08.02,-,,한달이상사용,피부 고민 해결,진정/장벽,5,5점,보통,0,예민,예민하고,"아누아 어성초 70 데일리 로션은 진정 효과가 필요할 때마다 손이 가는 데일리템이에요. 성분도 깔끔하고 어성초가 70나 함유돼 있어서 예민하고 울긋불긋한 피부에 딱이에요. 제형은 묽은 로션 타입이라 부담 없이 바를 수 있고, 가볍게 흡수되면서도 속은 촉촉하게 채워주는 느낌이라 여름철에도 사용감이 너무 좋아요. 기초를 여러 단계 바르기 귀찮을 때 이 로션 하나만 발라도 수분감 충분해서 간편하게 케어할 수 있어요. 트러블이 올라올 때 사용해도 자극 없이 진정이 되고, 오히려 붉은기가 빠르게 가라앉아서 민감성 피부에도 정말 잘 맞는 제품이에요. 화장 전에 사용해도 밀림 없이 잘 어우러져서 데일리 로션으로 제격입니다. 200ml라 용량도 넉넉하고 펌프형이라 위생적이고 사용도 간편해서 재구매 의사 100! 피부 예민하거나 수분 진정템 찾는 분들께 강력 추천해요.",1.2,"가라앉, 데일리, 묽은, 민감, 밀림, 붉은기, 수분감, 예민, 자극, 재구매, 제형, 진정, 촉촉, 추천, 트러블, 펌프, 화장, 흡수"
LL_250802_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.08.02,-,,한달이상사용,"수분/유분 밸런스, 제형/사용감","보습/속건조, 흡수/발림성",5,5점,긍정,3,"묽은, 제형, 촉촉, 흡수","제형은 묽은 로션 타입이라 부담 없이 바를 수 있고, 가볍게 흡수되면서도 속은 촉촉하게 채워주는 느낌이라 여름철에도 사용감이 너무 좋아요","아누아 어성초 70 데일리 로션은 진정 효과가 필요할 때마다 손이 가는 데일리템이에요. 성분도 깔끔하고 어성초가 70나 함유돼 있어서 예민하고 울긋불긋한 피부에 딱이에요. 제형은 묽은 로션 타입이라 부담 없이 바를 수 있고, 가볍게 흡수되면서도 속은 촉촉하게 채워주는 느낌이라 여름철에도 사용감이 너무 좋아요. 기초를 여러 단계 바르기 귀찮을 때 이 로션 하나만 발라도 수분감 충분해서 간편하게 케어할 수 있어요. 트러블이 올라올 때 사용해도 자극 없이 진정이 되고, 오히려 붉은기가 빠르게 가라앉아서 민감성 피부에도 정말 잘 맞는 제품이에요. 화장 전에 사용해도 밀림 없이 잘 어우러져서 데일리 로션으로 제격입니다. 200ml라 용량도 넉넉하고 펌프형이라 위생적이고 사용도 간편해서 재구매 의사 100! 피부 예민하거나 수분 진정템 찾는 분들께 강력 추천해요.",1.2,"가라앉, 데일리, 묽은, 민감, 밀림, 붉은기, 수분감, 예민, 자극, 재구매, 제형, 진정, 촉촉, 추천, 트러블, 펌프, 화장, 흡수"
LL_250802_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.08.02,-,,한달이상사용,수분/유분 밸런스,보습/속건조,5,5점,보통,0,수분감,기초를 여러 단계 바르기 귀찮을 때 이 로션 하나만 발라도 수분감 충분해서,"아누아 어성초 70 데일리 로션은 진정 효과가 필요할 때마다 손이 가는 데일리템이에요. 성분도 깔끔하고 어성초가 70나 함유돼 있어서 예민하고 울긋불긋한 피부에 딱이에요. 제형은 묽은 로션 타입이라 부담 없이 바를 수 있고, 가볍게 흡수되면서도 속은 촉촉하게 채워주는 느낌이라 여름철에도 사용감이 너무 좋아요. 기초를 여러 단계 바르기 귀찮을 때 이 로션 하나만 발라도 수분감 충분해서 간편하게 케어할 수 있어요. 트러블이 올라올 때 사용해도 자극 없이 진정이 되고, 오히려 붉은기가 빠르게 가라앉아서 민감성 피부에도 정말 잘 맞는 제품이에요. 화장 전에 사용해도 밀림 없이 잘 어우러져서 데일리 로션으로 제격입니다. 200ml라 용량도 넉넉하고 펌프형이라 위생적이고 사용도 간편해서 재구매 의사 100! 피부 예민하거나 수분 진정템 찾는 분들께 강력 추천해요.",1.2,"가라앉, 데일리, 묽은, 민감, 밀림, 붉은기, 수분감, 예민, 자극, 재구매, 제형, 진정, 촉촉, 추천, 트러블, 펌프, 화장, 흡수"
LL_250802_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.08.02,-,,한달이상사용,"피부 고민 해결, 피부 자극","자극/부작용, 진정/장벽, 트러블/모공",5,5점,긍정,1,"가라앉, 붉은기, 자극, 진정, 트러블","트러블이 올라올 때 사용해도 자극 없이 진정이 되고, 오히려 붉은기가 빠르게 가라앉아서","아누아 어성초 70 데일리 로션은 진정 효과가 필요할 때마다 손이 가는 데일리템이에요. 성분도 깔끔하고 어성초가 70나 함유돼 있어서 예민하고 울긋불긋한 피부에 딱이에요. 제형은 묽은 로션 타입이라 부담 없이 바를 수 있고, 가볍게 흡수되면서도 속은 촉촉하게 채워주는 느낌이라 여름철에도 사용감이 너무 좋아요. 기초를 여러 단계 바르기 귀찮을 때 이 로션 하나만 발라도 수분감 충분해서 간편하게 케어할 수 있어요. 트러블이 올라올 때 사용해도 자극 없이 진정이 되고, 오히려 붉은기가 빠르게 가라앉아서 민감성 피부에도 정말 잘 맞는 제품이에요. 화장 전에 사용해도 밀림 없이 잘 어우러져서 데일리 로션으로 제격입니다. 200ml라 용량도 넉넉하고 펌프형이라 위생적이고 사용도 간편해서 재구매 의사 100! 피부 예민하거나 수분 진정템 찾는 분들께 강력 추천해요.",1.2,"가라앉, 데일리, 묽은, 민감, 밀림, 붉은기, 수분감, 예민, 자극, 재구매, 제형, 진정, 촉촉, 추천, 트러블, 펌프, 화장, 흡수"
LL_250802_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.08.02,-,,한달이상사용,피부 자극,순함/저자극,5,5점,보통,0,민감,민감성 피부에도 정말 잘 맞는 제품이에요,"아누아 어성초 70 데일리 로션은 진정 효과가 필요할 때마다 손이 가는 데일리템이에요. 성분도 깔끔하고 어성초가 70나 함유돼 있어서 예민하고 울긋불긋한 피부에 딱이에요. 제형은 묽은 로션 타입이라 부담 없이 바를 수 있고, 가볍게 흡수되면서도 속은 촉촉하게 채워주는 느낌이라 여름철에도 사용감이 너무 좋아요. 기초를 여러 단계 바르기 귀찮을 때 이 로션 하나만 발라도 수분감 충분해서 간편하게 케어할 수 있어요. 트러블이 올라올 때 사용해도 자극 없이 진정이 되고, 오히려 붉은기가 빠르게 가라앉아서 민감성 피부에도 정말 잘 맞는 제품이에요. 화장 전에 사용해도 밀림 없이 잘 어우러져서 데일리 로션으로 제격입니다. 200ml라 용량도 넉넉하고 펌프형이라 위생적이고 사용도 간편해서 재구매 의사 100! 피부 예민하거나 수분 진정템 찾는 분들께 강력 추천해요.",1.2,"가라앉, 데일리, 묽은, 민감, 밀림, 붉은기, 수분감, 예민, 자극, 재구매, 제형, 진정, 촉촉, 추천, 트러블, 펌프, 화장, 흡수"
LL_250802_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.08.02,-,,한달이상사용,"구매 가치/편의, 제형/사용감","끈적임/밀림, 상황/편의",5,5점,긍정,2,"밀림, 화장",화장 전에 사용해도 밀림 없이 잘 어우러져서,"아누아 어성초 70 데일리 로션은 진정 효과가 필요할 때마다 손이 가는 데일리템이에요. 성분도 깔끔하고 어성초가 70나 함유돼 있어서 예민하고 울긋불긋한 피부에 딱이에요. 제형은 묽은 로션 타입이라 부담 없이 바를 수 있고, 가볍게 흡수되면서도 속은 촉촉하게 채워주는 느낌이라 여름철에도 사용감이 너무 좋아요. 기초를 여러 단계 바르기 귀찮을 때 이 로션 하나만 발라도 수분감 충분해서 간편하게 케어할 수 있어요. 트러블이 올라올 때 사용해도 자극 없이 진정이 되고, 오히려 붉은기가 빠르게 가라앉아서 민감성 피부에도 정말 잘 맞는 제품이에요. 화장 전에 사용해도 밀림 없이 잘 어우러져서 데일리 로션으로 제격입니다. 200ml라 용량도 넉넉하고 펌프형이라 위생적이고 사용도 간편해서 재구매 의사 100! 피부 예민하거나 수분 진정템 찾는 분들께 강력 추천해요.",1.2,"가라앉, 데일리, 묽은, 민감, 밀림, 붉은기, 수분감, 예민, 자극, 재구매, 제형, 진정, 촉촉, 추천, 트러블, 펌프, 화장, 흡수"
LL_250802_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.08.02,-,,한달이상사용,구매 가치/편의,상황/편의,5,5점,보통,0,데일리,데일리 로션으로 제격입니다,"아누아 어성초 70 데일리 로션은 진정 효과가 필요할 때마다 손이 가는 데일리템이에요. 성분도 깔끔하고 어성초가 70나 함유돼 있어서 예민하고 울긋불긋한 피부에 딱이에요. 제형은 묽은 로션 타입이라 부담 없이 바를 수 있고, 가볍게 흡수되면서도 속은 촉촉하게 채워주는 느낌이라 여름철에도 사용감이 너무 좋아요. 기초를 여러 단계 바르기 귀찮을 때 이 로션 하나만 발라도 수분감 충분해서 간편하게 케어할 수 있어요. 트러블이 올라올 때 사용해도 자극 없이 진정이 되고, 오히려 붉은기가 빠르게 가라앉아서 민감성 피부에도 정말 잘 맞는 제품이에요. 화장 전에 사용해도 밀림 없이 잘 어우러져서 데일리 로션으로 제격입니다. 200ml라 용량도 넉넉하고 펌프형이라 위생적이고 사용도 간편해서 재구매 의사 100! 피부 예민하거나 수분 진정템 찾는 분들께 강력 추천해요.",1.2,"가라앉, 데일리, 묽은, 민감, 밀림, 붉은기, 수분감, 예민, 자극, 재구매, 제형, 진정, 촉촉, 추천, 트러블, 펌프, 화장, 흡수"
LL_250802_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2025.08.02,-,,한달이상사용,구매 가치/편의,상황/편의,5,5점,보통,0,펌프,펌프형이라 위생적이고,"아누아 어성초 70 데일리 로션은 진정 효과가 필요할 때마다 손이 가는 데일리템이에요. 성분도 깔끔하고 어성초가 70나 함유돼 있어서 예민하고 울긋불긋한 피부에 딱이에요. 제형은 묽은 로션 타입이라 부담 없이 바를 수 있고, 가볍게 흡수되면서도 속은 촉촉하게 채워주는 느낌이라 여름철에도 사용감이 너무 좋아요. 기초를 여러 단계 바르기 귀찮을 때 이 로션 하나만 발라도 수분감 충분해서 간편하게 케어할 수 있어요. 트러블이 올라올 때 사용해도 자극 없이 진정이 되고, 오히려 붉은기가 빠르게 가라앉아서 민감성 피부에도 정말 잘 맞는 제품이에요. 화장 전에 사용해도 밀림 없이 잘 어우러져서 데일리 로션으로 제격입니다. 200ml라 용량도 넉넉하고 펌프형이라 위생적이고 사용도 간편해서 재구매 의사 100! 피부 예민하거나 수분 진정템 찾는 분들께 강력 추천해요.",1.2,"가라앉, 데일리, 묽은, 민감, 밀림, 붉은기, 수분감, 예민, 자극, 재구매, 제형, 진정, 촉촉, 추천, 트러블, 펌프, 화장, 흡수"
