제품명,상세 항목 및 요약,사용자 수 / 정보밀도,긍정 소분류 (Top 5),부정 소분류 (Top 5),종합 만족도,평균 점수
어성초 70 데일리 로션 200ml,가을웜톤,4명,"자극/부작용 (2)
상황/편의 (2)
추천/재구매 (2)
보습/속건조 (1)
흡수/발림성 (1)",-,매우만족,1.57
어성초 70 데일리 로션 200ml,각질,9명,"진정/장벽 (3)
트러블/모공 (3)
보습/속건조 (2)
자극/부작용 (2)
순함/저자극 (2)",-,만족,1.25
어성초 70 데일리 로션 200ml,건성,10명,"자극/부작용 (4)
보습/속건조 (4)
트러블/모공 (3)
진정/장벽 (3)
추천/재구매 (3)",상황/편의 (1),만족,1.42
어성초 70 데일리 로션 200ml,겨울쿨톤,5명,"진정/장벽 (4)
트러블/모공 (4)
보습/속건조 (2)
추천/재구매 (2)
흡수/발림성 (2)",-,매우만족,1.73
어성초 70 데일리 로션 200ml,다크서클,2명,"자극/부작용 (1)
추천/재구매 (1)",-,매우만족,2.5
어성초 70 데일리 로션 200ml,모공,2명,"가성비/가격 (2)
추천/재구매 (1)
보습/속건조 (1)
트러블/모공 (1)",-,만족,1.0
어성초 70 데일리 로션 200ml,미백,21명,"추천/재구매 (9)
보습/속건조 (9)
트러블/모공 (7)
순함/저자극 (5)
진정/장벽 (5)",-,매우만족,1.8
어성초 70 데일리 로션 200ml,민감성,12명,"보습/속건조 (6)
흡수/발림성 (4)
자극/부작용 (4)
상황/편의 (3)
추천/재구매 (3)",-,매우만족,1.55
어성초 70 데일리 로션 200ml,복합성,26명,"보습/속건조 (7)
추천/재구매 (6)
흡수/발림성 (5)
순함/저자극 (4)
트러블/모공 (3)","보습/속건조 (1)
트러블/모공 (1)",만족,1.07
어성초 70 데일리 로션 200ml,봄웜톤,12명,"보습/속건조 (5)
추천/재구매 (4)
자극/부작용 (3)
상황/편의 (3)
흡수/발림성 (2)",-,만족,1.4
어성초 70 데일리 로션 200ml,블랙헤드,7명,"보습/속건조 (3)
자극/부작용 (2)
상황/편의 (2)
흡수/발림성 (2)
순함/저자극 (1)","보습/속건조 (1)
트러블/모공 (1)",매우만족,1.56
어성초 70 데일리 로션 200ml,약건성,2명,"진정/장벽 (1)
추천/재구매 (1)
흡수/발림성 (1)",-,만족,0.75
어성초 70 데일리 로션 200ml,여름쿨톤,13명,"추천/재구매 (4)
보습/속건조 (3)
가성비/가격 (3)
흡수/발림성 (3)
유분/피지 (2)",-,만족,1.17
어성초 70 데일리 로션 200ml,웜톤,13명,"보습/속건조 (4)
흡수/발림성 (3)
끈적임/밀림 (3)
추천/재구매 (2)
자극/부작용 (2)","보습/속건조 (1)
트러블/모공 (1)",만족,1.43
어성초 70 데일리 로션 200ml,잡티,24명,"보습/속건조 (10)
추천/재구매 (7)
유분/피지 (5)
자극/부작용 (5)
흡수/발림성 (5)",-,만족,1.31
어성초 70 데일리 로션 200ml,재구매,42명,"추천/재구매 (22)
보습/속건조 (12)
유분/피지 (9)
흡수/발림성 (8)
끈적임/밀림 (7)","상황/편의 (1)
순함/저자극 (1)",만족,1.44
