제품명,상세 항목 및 요약,사용자 수 / 정보밀도,긍정 소분류 (Top 5),부정 소분류 (Top 5),종합 만족도,평균 점수
아누아 어성초 피지쏙 모공 폼 150ml,가을웜톤,25명,"추천/재구매 (11)
트러블/모공 (6)
보습/속건조 (4)
자극/부작용 (4)
가성비/가격 (4)",트러블/모공 (2),만족,1.31
아누아 어성초 피지쏙 모공 폼 150ml,각질,29명,"자극/부작용 (10)
트러블/모공 (8)
순함/저자극 (8)
상황/편의 (4)
보습/속건조 (4)","자극/부작용 (2)
트러블/모공 (2)
진정/장벽 (1)
보습/속건조 (1)",만족,1.02
아누아 어성초 피지쏙 모공 폼 150ml,건성,31명,"보습/속건조 (13)
트러블/모공 (9)
순함/저자극 (9)
자극/부작용 (9)
추천/재구매 (8)",트러블/모공 (1),매우만족,1.57
아누아 어성초 피지쏙 모공 폼 150ml,겨울쿨톤,10명,"추천/재구매 (4)
트러블/모공 (3)
보습/속건조 (2)
자극/부작용 (2)
가성비/가격 (1)",자극/부작용 (1),만족,1.47
아누아 어성초 피지쏙 모공 폼 150ml,다크서클,2명,"트러블/모공 (2)
순함/저자극 (1)
진정/장벽 (1)
추천/재구매 (1)",-,매우만족,3.0
아누아 어성초 피지쏙 모공 폼 150ml,모공,12명,"추천/재구매 (5)
트러블/모공 (3)
가성비/가격 (2)
자극/부작용 (1)
보습/속건조 (1)",트러블/모공 (1),만족,1.36
아누아 어성초 피지쏙 모공 폼 150ml,미백,38명,"추천/재구매 (18)
자극/부작용 (9)
트러블/모공 (8)
순함/저자극 (7)
가성비/가격 (5)","자극/부작용 (3)
진정/장벽 (1)
상황/편의 (1)
흡수/발림성 (1)
보습/속건조 (1)",만족,1.39
아누아 어성초 피지쏙 모공 폼 150ml,민감성,21명,"추천/재구매 (9)
순함/저자극 (5)
자극/부작용 (5)
보습/속건조 (4)
진정/장벽 (2)",-,매우만족,1.71
아누아 어성초 피지쏙 모공 폼 150ml,복합성,52명,"추천/재구매 (20)
자극/부작용 (15)
순함/저자극 (11)
트러블/모공 (10)
보습/속건조 (7)","트러블/모공 (2)
자극/부작용 (1)",만족,1.48
아누아 어성초 피지쏙 모공 폼 150ml,봄웜톤,27명,"추천/재구매 (11)
자극/부작용 (10)
트러블/모공 (7)
순함/저자극 (6)
상황/편의 (4)","자극/부작용 (2)
진정/장벽 (1)
상황/편의 (1)
흡수/발림성 (1)
보습/속건조 (1)",만족,1.27
아누아 어성초 피지쏙 모공 폼 150ml,블랙헤드,39명,"추천/재구매 (14)
자극/부작용 (10)
트러블/모공 (7)
보습/속건조 (7)
순함/저자극 (6)","상황/편의 (1)
트러블/모공 (1)
자극/부작용 (1)",매우만족,1.62
아누아 어성초 피지쏙 모공 폼 150ml,아토피,2명,보습/속건조 (2),-,만족,0.8
아누아 어성초 피지쏙 모공 폼 150ml,약건성,4명,"추천/재구매 (2)
보습/속건조 (1)
자극/부작용 (1)","상황/편의 (1)
자극/부작용 (1)
흡수/발림성 (1)",매우만족,1.8
아누아 어성초 피지쏙 모공 폼 150ml,여름쿨톤,33명,"추천/재구매 (13)
자극/부작용 (8)
트러블/모공 (7)
보습/속건조 (5)
유분/피지 (4)","트러블/모공 (2)
상황/편의 (1)
자극/부작용 (1)",매우만족,1.71
아누아 어성초 피지쏙 모공 폼 150ml,웜톤,33명,"추천/재구매 (10)
순함/저자극 (10)
자극/부작용 (8)
보습/속건조 (8)
진정/장벽 (4)",-,매우만족,1.59
아누아 어성초 피지쏙 모공 폼 150ml,잡티,60명,"추천/재구매 (28)
자극/부작용 (16)
보습/속건조 (13)
트러블/모공 (10)
순함/저자극 (9)","자극/부작용 (3)
트러블/모공 (2)
상황/편의 (1)
흡수/발림성 (1)",만족,1.38
아누아 어성초 피지쏙 모공 폼 150ml,재구매,100명,"추천/재구매 (72)
자극/부작용 (21)
보습/속건조 (17)
트러블/모공 (15)
상황/편의 (11)","진정/장벽 (1)
트러블/모공 (1)
자극/부작용 (1)",매우만족,2.01
아누아 어성초 피지쏙 모공 폼 150ml,정보없음,297명,"추천/재구매 (103)
자극/부작용 (84)
트러블/모공 (58)
순함/저자극 (46)
보습/속건조 (42)","자극/부작용 (11)
트러블/모공 (8)
상황/편의 (6)
유분/피지 (3)
순함/저자극 (3)",만족,1.35
아누아 어성초 피지쏙 모공 폼 150ml,주름,16명,"추천/재구매 (7)
자극/부작용 (6)
보습/속건조 (3)
트러블/모공 (2)
유분/피지 (2)",-,만족,1.38
아누아 어성초 피지쏙 모공 폼 150ml,중성,4명,"추천/재구매 (3)
트러블/모공 (2)","자극/부작용 (1)
진정/장벽 (1)
상황/편의 (1)
트러블/모공 (1)
보습/속건조 (1)",만족,0.56
아누아 어성초 피지쏙 모공 폼 150ml,지성,31명,"추천/재구매 (13)
자극/부작용 (8)
보습/속건조 (5)
유분/피지 (4)
상황/편의 (3)",-,만족,1.4
아누아 어성초 피지쏙 모공 폼 150ml,쿨톤,17명,"추천/재구매 (7)
순함/저자극 (3)
보습/속건조 (2)
상황/편의 (2)
트러블/모공 (2)",자극/부작용 (1),만족,1.17
아누아 어성초 피지쏙 모공 폼 150ml,탄력,6명,"순함/저자극 (2)
자극/부작용 (2)
추천/재구매 (2)",트러블/모공 (1),만족,0.71
아누아 어성초 피지쏙 모공 폼 150ml,트러블,57명,"추천/재구매 (22)
자극/부작용 (15)
트러블/모공 (10)
보습/속건조 (9)
순함/저자극 (9)","자극/부작용 (1)
상황/편의 (1)
트러블/모공 (1)",매우만족,1.64
아누아 어성초 피지쏙 모공 폼 150ml,트러블성,20명,"추천/재구매 (9)
보습/속건조 (4)
자극/부작용 (4)
순함/저자극 (3)
트러블/모공 (3)",자극/부작용 (2),매우만족,1.53
아누아 어성초 피지쏙 모공 폼 150ml,피지과다,7명,"진정/장벽 (3)
순함/저자극 (2)
자극/부작용 (2)
보습/속건조 (2)
추천/재구매 (1)",-,매우만족,1.5
