제품명,상세 항목 및 요약,사용자 수 / 정보밀도,긍정 소분류 (Top 5),부정 소분류 (Top 5),종합 만족도,평균 점수
라이스 70 글로우 밀키 토너 250ml,건성,1명,보습/속건조 (1),-,만족,1.0
라이스 70 글로우 밀키 토너 250ml,웜톤,1명,보습/속건조 (1),-,만족,1.0
라이스 70 글로우 밀키 토너 250ml,잡티,1명,보습/속건조 (1),-,만족,1.0
라이스 70 글로우 밀키 토너 250ml,정보없음,1명,보습/속건조 (1),-,만족,0.67
라이스 70 글로우 밀키 토너 250ml,주름,1명,보습/속건조 (1),-,만족,1.0
라이스 70 글로우 밀키 토너 250ml,"[라이스 70 글로우 밀키 토너 250ml 랩업] 참여 유저: (건성 1명, 웜톤 1명, 잡티 1명, 정보없음 1명, 주름 1명). 이 제품에서 가장 많이 언급된 특징은 '보습/속건조'(으)로, 이에 대해 주로 긍정적인 반응을 보였습니다.",총 2명,★★ 제품 전체 요약 ★★,★★ 제품 전체 요약 ★★,-,0.8
라이스 70 글로우 밀키 토너 250ml,[대표리뷰 1] 얼굴이 너무 건조해서 화장을 해도 화장이 금방 떠서 스트레스 받더라구요.그래서 계속 찾아보다가 이 제품을 찾게되어 써봤는데 보습도 너무 좋고 최고입니당,밀도: 2,리뷰ID: TR_251210_001,태그: nan,별점: 5점,0.7
라이스 70 글로우 밀키 토너 250ml,[대표리뷰 2] 건성이라 뭘발라도 건조한데 이거쓰고나서 진짜 보습이 탄탄해진 느낌이에요!,밀도: 1,리뷰ID: TR_251216_001,태그: nan,별점: 5점,1.0
복숭아 나이아신아마이드 에센스 토너 250mL,가을웜톤,1명,상황/편의 (1),-,만족,1.0
복숭아 나이아신아마이드 에센스 토너 250mL,각질,5명,"가성비/가격 (2)
추천/재구매 (2)
상황/편의 (2)",-,만족,1.43
복숭아 나이아신아마이드 에센스 토너 250mL,건성,11명,"추천/재구매 (4)
상황/편의 (2)
흡수/발림성 (2)
가성비/가격 (2)
끈적임/밀림 (1)",트러블/모공 (1),매우만족,2.0
복숭아 나이아신아마이드 에센스 토너 250mL,겨울쿨톤,3명,"보습/속건조 (2)
순함/저자극 (2)
자극/부작용 (2)
추천/재구매 (1)",-,매우만족,3.33
복숭아 나이아신아마이드 에센스 토너 250mL,다크서클,1명,상황/편의 (1),-,만족,1.0
복숭아 나이아신아마이드 에센스 토너 250mL,모공,4명,"보습/속건조 (2)
순함/저자극 (2)
자극/부작용 (2)
추천/재구매 (2)",-,매우만족,4.25
복숭아 나이아신아마이드 에센스 토너 250mL,미백,13명,"추천/재구매 (6)
보습/속건조 (6)
미백/광채 (4)
가성비/가격 (3)
상황/편의 (2)",-,만족,1.43
복숭아 나이아신아마이드 에센스 토너 250mL,민감성,5명,"상황/편의 (3)
보습/속건조 (3)
유분/피지 (1)
흡수/발림성 (1)",-,만족,1.12
복숭아 나이아신아마이드 에센스 토너 250mL,복합성,7명,"상황/편의 (3)
보습/속건조 (2)
흡수/발림성 (2)
미백/광채 (1)
추천/재구매 (1)","상황/편의 (1)
추천/재구매 (1)",만족,0.77
복숭아 나이아신아마이드 에센스 토너 250mL,봄웜톤,6명,"보습/속건조 (2)
상황/편의 (2)
미백/광채 (2)
추천/재구매 (2)
순함/저자극 (1)","상황/편의 (1)
추천/재구매 (1)",만족,0.77
복숭아 나이아신아마이드 에센스 토너 250mL,블랙헤드,3명,"보습/속건조 (2)
추천/재구매 (2)
유분/피지 (1)
상황/편의 (1)
미백/광채 (1)",-,만족,1.0
복숭아 나이아신아마이드 에센스 토너 250mL,여름쿨톤,12명,"흡수/발림성 (4)
보습/속건조 (4)
추천/재구매 (3)
상황/편의 (3)
끈적임/밀림 (1)",트러블/모공 (1),매우만족,1.88
복숭아 나이아신아마이드 에센스 토너 250mL,웜톤,4명,"상황/편의 (2)
보습/속건조 (2)
유분/피지 (1)
추천/재구매 (1)",-,만족,0.5
복숭아 나이아신아마이드 에센스 토너 250mL,잡티,16명,"보습/속건조 (8)
상황/편의 (5)
순함/저자극 (3)
자극/부작용 (3)
미백/광채 (3)",-,만족,1.48
복숭아 나이아신아마이드 에센스 토너 250mL,재구매,1명,추천/재구매 (2),-,매우만족,1.5
복숭아 나이아신아마이드 에센스 토너 250mL,정보없음,48명,"상황/편의 (18)
추천/재구매 (16)
보습/속건조 (15)
흡수/발림성 (10)
끈적임/밀림 (6)","끈적임/밀림 (1)
유분/피지 (1)
흡수/발림성 (1)",만족,1.39
복숭아 나이아신아마이드 에센스 토너 250mL,주름,2명,"가성비/가격 (1)
추천/재구매 (1)",-,매우만족,2.0
복숭아 나이아신아마이드 에센스 토너 250mL,중성,2명,"가성비/가격 (1)
추천/재구매 (1)",-,매우만족,2.0
복숭아 나이아신아마이드 에센스 토너 250mL,지성,6명,"보습/속건조 (4)
순함/저자극 (4)
자극/부작용 (3)
추천/재구매 (3)
미백/광채 (3)",-,만족,1.2
