product_name,product_type,price,날짜,별점,스킨타입,태그,리뷰내용
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.25,5점,"복합성, 봄웜톤, 블랙헤드, 다크서클",,"트러블 들 날것같아요
어성초라서 순하고 bha인게 좋네요"
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.25,5점,,한달이상사용,이거 좋은 고 같아요 이걸로 폼클렌징 바꾸고 피부 좀 좋아졌어요
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.25,5점,"복합성, 쿨톤, 각질, 트러블",,아누아 어성초 라인은 다 좋아서 구매해봤어요 좋아요! 2개 들어서 오래쓸수 있을거 같아요
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.25,5점,,,"우선 2개입에 구입할 수 있어서 좋았습니다
잘 사용할 것 같아요"
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.25,5점,,한달이상사용,"이거 디게 순함 근데 화장 잘 지워지는거?는 모르겠음
화장안하고 세수했을때 자극,속당김없이 개운함
근데 그냥 아비브가 순한거 같음"
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.24,5점,,,코에 피지 필라멘트 고민있는데 자극 센건 못쓰겠을 때 이거 한 번 써보세요 각질제거 성분 들어가있는거 치고 순함
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.24,5점,,한달이상사용,원래 쓰던 제품이라 또 구매했고 촉촉하고 부드럽게 세안이 되요 씻고 나면 피부가 맨질해요
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.24,4점,,재구매,막 확 변화가 크게 느껴지진 않는데 꾸준히 쓰다보면 피부결이 살짝 매끈해지는 것 같아요!
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.24,5점,,한달이상사용,시간을 두고 사용해보니 처음보다 훨씬 안정적인 흐름이 자리 잡아 만족감이 컸습니다. 복잡한 과정 없이 편하게 이어졌습니다. 반복해 사용해도 편안함이 유지된 점이 좋았습니다.
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.24,5점,,,어성초 제품이 원래도 잘 맞아서 이 제품도 잘 쓰고 있어요! 더블 기획이라 양도 넉넉하게 죠습니당
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.24,5점,,재구매,한번 사보고 좋아서 몇통째 비우고 있어용 여드름 피부에 조아여
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.23,5점,,,"오잉이거왜판매종료지
뽀득뽀득하게닦이는걸원해서샀는데
그렇게뽀독뽀독...가진아니고
근데세정은잘되는듯
구웃
근데어디서많이맡아봤던냄새임
그래서세수할때마다깊생에빠짐어디였을까"
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.23,5점,"복합성, 가을웜톤, 트러블, 모공",한달이상사용,중간 중간 박힌 알갱이가 챠밍 포인트-! 거품도 잘 나고 향도 부담스럽지 않아 잘 쓰는 폼클렌징입니당 이것도 재구매한 아이템이에요
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.23,5점,,한달이상사용,어성초 라인이라 자극도 덜 되고 사용하기 되게 좋았던 것 같네요
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.23,5점,,,사용 초반이여서 아직 잘 모르겠지만 조금만 짜도 거품 잘나구요 세안한뒤에 뽀득뽀득한 느낌없이 부드럽게 세안되는것같아서 좋아요!
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.23,5점,,,자극 없으면서 순하고 좋아요! 거품도 퓽성하고 괜찮습니당
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.23,5점,,,친구집에서 써보고 피부에서 광이 나서 저도 샀어요! 이걸로 세수하면 되게 기분좋아요ㅎㅎㅎ 코가 매끈해져요
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.23,5점,,,"사용한지 얼마되지 않았는데 순하니 좋은거 같아요...
꾸준히 사용해보고 계속 사용할려구요^^"
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.23,5점,"지성, 봄웜톤, 블랙헤드, 모공",한달이상사용,오일이랑 같이 사용해줬는데 이거 두개만 쓰면 속건조? 땡김? 그게 뭔데;;가 되버려..순하고 2차 세안용으로 써서 그런가 잘 씻기는 느낌이에오
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.23,5점,,한달이상사용,제품력좋고 세안후에 많이 건조하지 않는 제품 추천받았는데 순한고 세야하고나면 막 땡기기도않고 좋아요~
아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징폼,"23,900원",2026.01.22,5점,"건성, 봄웜톤",한달이상사용,거품이 부드럽고 풍성하게 나와 세안 시 피부 자극이 적습니다. 세정력은 충분하지만 세안 후에도 당김이 심하지 않아 데일리로 사용하기 좋습니다. 피부를 깔끔하게 정돈해 주는 클렌징폼입니다.
