날짜,별점,스킨타입,태그,리뷰내용
2026.01.25,4점,,,가볍고 향도 없ㄷㅎ 산뜻해서 좋아요 아침에 쓰기 딱 좋음요!
2026.01.25,5점,,재구매,딱 순해서 그냥 바르기 젛아요 어성초가 들어있어서 피부 진정도 되는느낌?
2026.01.25,5점,,,남친이 좋다해서 사줬어요! 보습잘돠고 좋다고 하네용ㅎㅂㅎ
2026.01.24,5점,,한달이상사용,좋아요 좋아요 몇년째 정착템이랑 토너랑 같이 세일할때 쟁여두고 있어욤
2026.01.23,5점,,한달이상사용,별 자극없이 순하고 너무 기름지지도 않아서 잘 사용하고있습니다!! 양도 많아서 오래쓰는거같아용!
2026.01.22,5점,,,여드름나기 시작한 딸 피부에 자극적이지않고 순하고 좋은거 같아요
2026.01.22,5점,"복합성, 여름쿨톤, 트러블, 모공",한달이상사용,"쓴지 한달 넘엇는데 이제서 반 조금 씀
여드름이 아직도 생기는 20대후반 피부에겐 너무 죠음ㅠ 크림 못 쓰는 피부라 로션이 있는 스킨케어 브랜드는 나에게 귀함...
올영에 이니스프리 로션이 없어서 이걸 처음 샀는데 이니스프리보다 더 좋음 양도 많구 가성비 더 좋음"
2026.01.20,5점,,,"지성이랑 복합성 사이인데 보습잘되는 로션들은 다 너무 유분이 심해서 속건조 없고 보습 잘되면서 유분 없는 로션울 찾다가 아누아 로션이 좋다고 해서 사봤어요!
유분 없고 딱 수분만 흡수되는게 너무 좋고 향에 민감해서 무향만 사용하는데 이거 향 없어서 너무 좋아요 ㅠㅠ
건성분들은 좀 건조할 수 있을 것 같아요!
유분 많은 로션 사용하는 지성이나 복합성이 유분때문에 트러블 올라오고 그러면 이걸로 바꿔보세요 넘 좋네요"
2026.01.20,5점,"복합성, 가을웜톤",한달이상사용,진짜 딱 데일리하고 무난하게 쓰기 좋아요 적당히 부족한 보습만 채워주는느낌 다른것도 써보고 마음에 안들면 재구매의향 잇음
2026.01.20,5점,"지성, 여름쿨톤, 미백, 트러블",한달이상사용,"여러번 레이어드 해주기에 무난한템

유분감이 적은 로션을 여러번 레이어링 햐주는 걸 좋아해요
지성이라 너무 무거운 제품은 좋아하지 않는데
이 제품은 가벼워서 여러번 올려주기 좋아요

여름에도 쓰기 좋을 듯"
2026.01.19,5점,,,구냥 휘뚤마뚤 쓰기 조음 이거만 쓰는건 좀 글코 묽은제형이라 다른거랑 같이
2026.01.19,5점,,,"화장전에 가볍게 바르기 좋아요 !
무난하게 잘 사용 중입니다"
