날짜,별점,스킨타입,태그,리뷰내용
2026.01.16,5점,"지성, 가을웜톤",한달이상사용,"아니 아누아 기초 맞는사람한텤 개찰떡임
이거 ㄹㅇ개촉촉하고 좋아ㅛ요 사세요사세요"
2026.01.14,5점,,재구매,자연스럽게 커버돼서 만족해요. 피부 톤이 좋아졌어요 추천 드려요 ㅎㅎ!!
2026.01.12,5점,,,리뉴얼된거 처음샀는데 전에거랑 똑같겠죠 몇년전부터 이것만 쓰고 있어요
2026.01.01,4점,"건성, 여름쿨톤, 트러블, 모공",한달이상사용,마음에 들어서 자주 애용하는 제품이에요. 무난해서 피부 타입이나 톤에 구애받지 않고 모든 분들이 무난하고 편하게 사용하기 좋을 것 같아요! 유목민 분들이 꾸준템으로 쓸 수 있는 정착템이 되지 않을까 싶습니다! :)
2025.12.16,5점,"지성, 가을웜톤",,"아누아 기초 라인들 다 굿
지성/복합성에도 쓰기 괜찮아요 성분을 딱히 보고사는 편은 아니지만 순하고 좋음 굿"
2025.12.16,5점,"민감성, 트러블",한달이상사용,가볍고 자극 없이 순해요! 솔직히 미백은 잘 모르겠어서 조금 더 써봐야 할 것 같아여
2025.12.02,4점,"건성, 여름쿨톤, 트러블, 모공",,마음에 들어서 자주 애용하는 제품이에요. 무난해서 피부 타입이나 톤에 구애받지 않고 모든 분들이 무난하고 편하게 사용하기 좋을 것 같아요! 유목민 분들이 꾸준템으로 쓸 수 있는 정착템이 되지 않을까 싶습니다! :)
2025.11.22,5점,"복합성, 쿨톤, 탄력",,부드럽게 발리고 흡수도 빨라서 계절 상관없이 데일리로 쓰기 좋아요
2025.11.17,5점,"민감성, 여름쿨톤, 잡티, 주름",,바르자마자 촉촉함이 느껴지고 건도해서 들뜬 피부 결이 한결 정리되는 느낌이에요
2025.11.16,5점,"민감성, 트러블",,순하고 좋아요! 향도 좋고 로션 짜서 쓰는 용기도 깔끔하고 좋은거 같아요!
