날짜,별점,스킨타입,태그,리뷰내용
2026.01.24,5점,,,벌써 다 썼어요 향도 괜찮고 사용하기 편리해서 좋아요 자극 없이 순해요
2026.01.24,5점,,,"전에 피부 뒤집었을때 잘 썼던 기억이 있어서 이번에 구매해봤어요
역시 이번에도 순하게 잘 맞아요
건조해서 요새 각질부각이 심한데 기초로 이거만 발라주고 화장하면 각질부각 없어요"
2026.01.22,5점,"민감성, 여름쿨톤, 잡티, 주름",한달이상사용,아누아 처돌이인 가족이 맨날 아누아만삼 1년넘은듯 나도 이런비슷한후기만 10개는넘게쓴거같음 근데 나도 뺏어쓰면 그때마다 만족해서 자주뺏어썼음
2026.01.21,4점,,한달이상사용,나쁘지 않아요! 뭔가 평소 써본거랑 느낌이 다르긴 한데🤔 써볼만 행요
2026.01.21,5점,,,친구가 추천해서 써는데 일주일정도 쓰니까 여드름 같은게 없어졌어용! 사춘기여서 고민이였는데 해결됐어용
2026.01.19,4점,,,아누아 어성초 앰플 진정에 효과 좋아요. 바르면 시원하고 흡수력 빨라요
2026.01.19,5점,,한달이상사용,주변 지인들한테도 추천하면서 저도 자주 애용하는 제품입니당
2026.01.16,5점,,재구매,진짜 여태까지 많은 세럼 써봤는데 이게 제일 효과 있고 순해요!!
2026.01.13,5점,,한달이상사용,이거 건성한테 좋다고 해서 사봤는데 완전 화잘먹세럼이잖아요!!다 떨어지면 또 사야겠어요!!건성 심한 편은 아닌데 오…먼가 다름 역시 비싸서 그런가 할인 좀 많이 해줬으면 좋겠어요
2026.01.07,3점,,,여러분 제가 원래 스킨케어에다가 욕 잘 안 하는데 이거는 제가 장벽 약한 지성 피부인데 저랑 같은 피부 가지신 분들은 절대 이거 쓰시면 안 될 것 같아요 제가 이거 쓰고 나서부터 약간 피부가 빨긋빨긋해지기 시작했는데 여드름은 안나서 그 빨긋빨긋한 피부 보는데 너무 스트레스예요 이거 사시지 말고 그냥 토너를 사서 쓰시는게 더 이득이신 거 같아요 얘는 진정 세럼인데 진정이 진짜 에바인거같아요... 어성초라고 해서 다 좋은 어성초는 아닙니다ㅜㅜ
2026.01.06,5점,,,찐찐 재구매템..항상 너무 촉촉하고 부드럽고 쫀쫀해서 좋아요
2026.01.04,5점,,,예민한 피부를 가진 딸이 사용하는 제품입니다 모든 화장품을 아누아로 사용해요
2026.01.02,5점,트러블성,한달이상사용,"자극없이 순하게 쓸만한 세럼을
계속 찾다가 아누아꺼쓰고서 이걸로
정착했어요ㅎㅎ"
2026.01.02,5점,"건성, 여름쿨톤, 잡티, 미백",,"발라보기만해도
수분가득하고 순하디 순한거 같아요 ㅋㅋ
잘쓸게욤"
2026.01.01,4점,,한달이상사용,조금 무거운 편에 속해서 겨울에도 발라주기 좋았는데 진정에는 크게 효과를 못 본거 같아요
2026.01.01,5점,,재구매,1주일에 4번 정도는 사용하네요. 피부 좀 올라온다 싶거나 화끈할때 써주면 나이스합니다
2025.12.28,4점,,재구매,"흡수 빠르고 자극 없는 세럼이에요.
피부 진정용으로 데일리 사용하기 좋아요."
2025.12.28,5점,,,"두통째!!! 진정도 잘 되고 순해서 좋아요
근데 좀 끈적인다는 리뷰도 봤는데 신경쓰일 정도의 끈적임은 아니라서 ㄱㅊ을듯요"
2025.12.27,5점,,,"피부가 뒤집혀서 예전에 쓰던 진정앰플 다시샀어요!
피부가 원래대로 돌아왔으면좋겠어요!"
2025.12.27,4점,,,아누아 다른 제품들이랑 같이 사용을 해서 그런지 효과가 눈에 띄게 보이는것 같아요 여드름이 없어졌어요
2025.12.27,4점,,,약간 쫀득한 제형이라 화장 후 밀림 현상이 있습니다. 나이트 용으로는 괜찮습니다.
2025.12.27,5점,"민감성, 여름쿨톤, 잡티, 트러블",,저는 개인적으로 피부 진정이 필요할 때 어성초가 굉장히 잘 맞습니다. 타사 제품들에 비해 어성초 함량이 매우 높고 끈적한 앰플이라 건성인 저에게는 보습과 진정이 동시에 챙겨져서 좋아요. 떨어지면 늘 사는 제품.
2025.12.26,5점,,,"요즘 pdrn이 유행인데 전 그게 안맞거든요ㅠ
이건 그것도 없고 제형감 수분감 딱 알맞아요!! 계속 한번 써보겠습니다. 제발 이 제품 단종 시키지 말아줘요!!!"
2025.12.25,5점,,,쫀득하고 쫀쫀해요 겨울에 사용하기 좋아요 저는 아침보단 저녁에 사용해요
2025.12.23,5점,,한달이상사용,진정보습장벽앰플원탑이에요피부뒤집어지면무조건이거쓰세요
2025.12.23,5점,,,진정에 좋아요 민감성인데이거 바르고 트러블 올라온적 없어요
2025.12.22,5점,,한달이상사용,피부에 잘 흡수되는 것 같다는 생각을 늘 합니다~ 가격이 있어도 제품이 좋아서 꾸준히 사용하고 있어요!
2025.12.21,5점,"지성, 가을웜톤, 피지과다, 모공",,잘 쓰고 있는 제품입니다~ 아누아는 순해서 좋은 것 같아요 추천합니다
2025.12.21,5점,,,너무너무 좋아여 아누아 토너 앰플 로션 다 지복합성에 좋고 순하고 좋아여 강추해요
2025.12.21,5점,"민감성, 여름쿨톤, 잡티, 주름",,제 동상이 맨날 제 계정으로 아누아를 구매합니다 근데 진짜 집착수준으로 구매해여 이 앰플도 제가 몇번리뷰를쓰는건지몰겟어요 솔직히 제품력이좋긴한거같어요
2025.12.20,5점,,,건복합에 괜츈한듯? 합니다 첨써보는거라 좀 더 써봐야 알거 같지만 저녁용으로 조음
2025.12.17,5점,,,엄청촉촉하고 피부진정되고 순하고좋아요흡수도잘되고 지인한테강추에요 후회없는선택입니다
2025.12.14,5점,,,"제품이 기대했던 것보다 훨씬 좋아서 매우 만족합니다. 사용감이 부드럽고 효과도 바로 느껴져서 데일리로 사용하기 좋습니다. 올리브영에서 구매하니 정품이라 안심이 되고 배송도 빠르고 포장도 깔끔했습니다. 가격 대비 만족도가 높아 재구매 의사 있으며, 주변 사람들에게도 추천하고 싶은 제품입니다."
2025.11.08,5점,,,"수부건성타입인데 진짜 괜찮은 것 같아요
엄청 순하고 보습에도 좋을 굿 같은 느낌!!"
2025.11.06,4점,,"한달이상사용, 재구매",초촉촉 진정에 좋고 좁쌀 방지템으로 추천ㄴ이에요이요 짱좋음요용
2025.11.03,5점,"건성, 가을웜톤, 잡티, 미백",,"너무좋어요 아것만 계속 구맹중
재구매릐사확실히 있음 이거 사삼"
2025.11.02,5점,,,좋아하는 연예인이 어성초 에센스 추천해줘서 구매해봤어요 생각보다 되직해요
2025.11.02,5점,,,사고 또 사고 또 샀습니다. 저는 어성초 라인이 맞는 피부여서 그런지 아누아 이 라인 토너 앰플 마스크 선크림 다 사용하는데 정말 좋아요!
2025.11.02,3점,,한달이상사용,그닥? 효과를 못보겠음 생각보다 끈적거리고 별로였음 가격이 싼것두 아니구 그래서ㅜ
2025.11.01,5점,,"한달이상사용, 재구매",피부가 편안해져요. 자극 0%. 향이 부드러워서 좋은 제품은 딱 느낌이 와요.
2025.10.31,5점,,재구매,5번째 구매에요 늘 이걸로 진정시키고 자면 담날 좋아져있어요
