날짜,별점,스킨타입,태그,리뷰내용
2026.01.20,5점,지성,,"달달한 복숭아 향기가 나서 기분이조와요,,🍑🍑 미백이나 수분에 큰 효과는 없지만 자극도 크게 없고 순해서 토너로서의 역할이 충실한것 같슴다👍"
2026.01.17,5점,,한달이상사용,"화장할 때 기초로 사용하기 좋고, 살짝 점도가 있어서 가벼운 느낌이 들지는 않지만 피부 결 정도하는데 괜찮아서 재구매 템이에요! 이걸로 기초하면 수분감을 잘 채워줘서 화장이 잘 먹어요. 그리고 건성 피부인 분들이 화장 전에 쓰면 좋을 것 같네요!!"
2026.01.14,5점,,,넘 조아여 화장도 잘먹고 여드름도 안생겨여 이거 써도 ㅎㅎ 또 구매할게여
2026.01.14,5점,,한달이상사용,여기 스킨케어제품 싹 더 사용 중인데 닦토 느낌으로 토너 사용하려고 샀어요 진짜 만족
2026.01.13,5점,,한달이상사용,"복숭아향 솔솔 나서 바르는 동안 힐링되네요
시트팩 써보고 좋아서 토너도 샀는데 시트팩이 더 뽀얘지는 효과가 있어요
토너는 수분감 좋고 무난해서 모든피부가 쓰기 좋을듯합니다"
2026.01.07,5점,,,"토너인데 에센스처럼 촉촉해서 한 번만 발라도 보습감이 좋아요. 향도 과하지 않고 피부 결이 부드럽게 정돈되는 느낌이라, 건조할 때 레이어링용으로 특히 만족했습니다."
2026.01.06,5점,,한달이상사용,"바흐고나면 촉촉함이 그대로 남아았어요~
속건조가 해경되는것같아요"
2026.01.06,4점,"복합성, 봄웜톤",한달이상사용,오 정말 가볍습니다! 정말 가벼워서 씻고 나와서 처음에 미스트처럼 사용하고 다른 것들을 올리면 정말 좋습니다 마지막이 쫀쫀하게 끝나긴 하는데! 겨울엔 건조할 수도 있어서 이것만 바르고 화장 하는 건 비추입니다!
2026.01.04,5점,,,막내동생이 요즘 피부에 신경을 많이 쓰는 것 같아서 세일하는 김에 사다줬어요
2026.01.01,5점,,,자극없이 순하고 무난해서 정착해서 쓰고있어용 정착템으로 좋은것 같슴미당
2026.01.01,5점,"중성, 겨울쿨톤, 미백, 주름",한달이상사용,운이 좋아서 싸게 구매하게 됐어요 기대 이상이라 너무 만족합니다
2026.01.01,5점,,한달이상사용,갸좋아요 그냥 향도 미쳤고 미백?효과도 있거 이거 바르면 개촉촉해요
2026.01.01,4점,"건성, 여름쿨톤, 트러블, 모공",한달이상사용,마음에 들어서 자주 애용하는 제품이에요. 무난해서 피부 타입이나 톤에 구애받지 않고 모든 분들이 무난하고 편하게 사용하기 좋을 것 같아요! 유목민 분들이 꾸준템으로 쓸 수 있는 정착템이 되지 않을까 싶습니다! :)
2025.12.30,5점,,한달이상사용,이거 산지 두달 지났는데 쫀득하게 아직도 쓰고있네용 보습에 엄청 좋고 미백에도 굿
2025.12.30,3점,,한달이상사용,"촉촉하고 깔끔한사용감으로 잘 쓰고 있어요
향도 좋아요

수분충전에돟아요"
2025.12.28,4점,,,화장 준비 전에 빠르고 쉽게 쓰려고 삿는데 만족 중임 근데 얘 때문인지는 모르겟지만 얼굴에 뭐가 나서 이마에 산이 여러개 생김.. 강제로 앞머리 자르는 중^^
2025.12.26,5점,,한달이상사용,오랫동안 사용하며 흐름이 서서히 익숙해져 편했습니다. 특별한 과정 없이 자연스럽게 사용할 수 있었습니다. 전체적으로 무리 없는 구성이라 좋았습니다.
