제품이름,product_type,가격,날짜,별점,스킨타입,태그,리뷰내용
피디알엔 히알루론산 캡슐 100 세럼 1ml_10ea,세럼,15000,2026.01.23,5점,"복합성, 겨울쿨톤, 잡티, 트러블",,헬그장에서 간편하게 쓰려고 또 주문! 이거말건 다른거 못써용
피디알엔 히알루론산 캡슐 100 세럼 1ml_10ea,세럼,15000,2026.01.23,5점,"복합성, 여름쿨톤, 잡티, 미백",,"여행용으로 이만한게 없네유
요거 여행으로 챙겨가는게 좋흡니당"
피디알엔 히알루론산 캡슐 100 세럼 1ml_10ea,세럼,15000,2026.01.21,5점,,,"지인이 하나 들고와서 써보고 촉촉한게 넘 좋아서
구매했습니다 ! 용량도 좋고 촉촉해서 좋아영"
피디알엔 히알루론산 캡슐 100 세럼 1ml_10ea,세럼,15000,2026.01.21,5점,,"한달이상사용, 재구매",여행용으로 굿이에용 출장때도 조앙 짐줄이기 최곱니다 ㅎㅎ
피디알엔 히알루론산 캡슐 100 세럼 1ml_10ea,세럼,15000,2026.01.21,5점,,한달이상사용,여행용으로 조아여 배송비 채울려고 둘러보다가 ㅌㅋ 결국 얘는 나중에 필요할것으로 예상되어 바로 겟
피디알엔 히알루론산 캡슐 100 세럼 1ml_10ea,세럼,15000,2026.01.19,5점,"트러블성, 웜톤, 잡티, 미백",,여행갈때 들고가요! 잔짜 편해요 ㅋㅎㅋㅎ 성능도 좋습니당
피디알엔 히알루론산 캡슐 100 세럼 1ml_10ea,세럼,15000,2026.01.19,5점,"복합성, 잡티, 미백",한달이상사용,"자극은 없이 순한데 수분감이 많어요
비싸요ㅠ 가격 할인 많이 해주새요 좋다규 해서 구매해봤어요"
피디알엔 히알루론산 캡슐 100 세럼 1ml_10ea,세럼,15000,2026.01.15,5점,,,"유튜브에서 추천하길래 구매해 봤는데, 너무 좋네요! 재구매 의사 있어요"
피디알엔 히알루론산 캡슐 100 세럼 1ml_10ea,세럼,15000,2026.01.14,5점,,한달이상사용,"여행용으로좋아요
하나씩 뜯어서 촉촉하게 해주니까
안심하고 씁니다"
피디알엔 히알루론산 캡슐 100 세럼 1ml_10ea,세럼,15000,2026.01.13,5점,,한달이상사용,여행갈때 사용하려고 구매해서 잘 사용했습니다. 이번에 또 여행가는데 구매해서 가야겠어요!
