리뷰ID,제품군,제품명,날짜,가격,스킨타입,태그,대분류,소분류,정보밀도(대분류수),별점,긍부정,감성점수,매칭키워드,추출문장,clean_text,리뷰_평균점수,전체_매칭키워드
FC_250801_001,기타,아누아 어성초 피지쏙 모공 폼 150ml,2025.08.01,"23,900원",,,피부 자극,순함/저자극,1,5점,긍정,1,순한,순한데 세정력도 좋고 거품이 잘나서 지금 잘 쓰고 있어요,순한데 세정력도 좋고 거품이 잘나서 지금 잘 쓰고 있어요!,1.0,순한
FC_250802_003,기타,아누아 어성초 피지쏙 모공 폼 150ml,2025.08.02,"23,900원",,한달이상사용,"수분/유분 밸런스, 피부 자극","유분/피지, 자극/부작용",2,5점,긍정,2,"산뜻, 자극",뽀득하고 산뜻해서 좋아요 알갱이가 크게 자극적이지도 않아요,뽀득하고 산뜻해서 좋아요 알갱이가 크게 자극적이지도 않아요,2.0,"산뜻, 자극"
FC_250802_004,기타,아누아 어성초 피지쏙 모공 폼 150ml,2025.08.02,"23,900원",,한달이상사용,구매 가치/편의,추천/재구매,1,5점,긍정,3,재구매,광고에 혹해서 한 번 사봤다 재구매햇어요,광고에 혹해서 한 번 사봤다 재구매햇어요. 좋네요. 세일 자주 해주세요,1.5,"세일, 재구매"
FC_250802_004,기타,아누아 어성초 피지쏙 모공 폼 150ml,2025.08.02,"23,900원",,한달이상사용,구매 가치/편의,가성비/가격,1,5점,보통,0,세일,세일 자주 해주세요,광고에 혹해서 한 번 사봤다 재구매햇어요. 좋네요. 세일 자주 해주세요,1.5,"세일, 재구매"
FC_250802_005,기타,아누아 어성초 피지쏙 모공 폼 150ml,2025.08.02,"23,900원",,,구매 가치/편의,추천/재구매,1,5점,긍정,3,재구매,재구매할거예요,클렌징오일이랑 같이 샀는데 진짜 조은거같아요 다써가서 재구매할거예요,3.0,재구매
FC_250802_006,기타,아누아 어성초 피지쏙 모공 폼 150ml,2025.08.02,"23,900원",,재구매,피부 고민 해결,"진정/장벽, 트러블/모공",1,5점,부정,-5,"예민, 트러블",피부 예민해서 가끔 안맞는 클렌징 쓰면 트러블 엄청 올라오거든요,이건 넘 좋아요. 피부 예민해서 가끔 안맞는 클렌징 쓰면 트러블 엄청 올라오거든요. 이건 괜찮았어요.,-5.0,"예민, 트러블"
FC_250802_007,기타,아누아 어성초 피지쏙 모공 폼 150ml,2025.08.02,"23,900원",,,피부 자극,"순함/저자극, 자극/부작용",1,5점,긍정,3,"자극, 자극없",피부에자극없이 지워져요,중학생딸과 같이 사용하고있는데 깨끗하게 마무리되고 씻고나면 피부가 뽀득뽀득해요 알갱이같은게있는데 피부에자극없이 지워져요,3.0,"자극, 자극없"
FC_250802_008,기타,아누아 어성초 피지쏙 모공 폼 150ml,2025.08.02,"23,900원",,,수분/유분 밸런스,유분/피지,2,2점,보통,0,피지,피지 고민으로 샀는데,피지 고민으로 샀는데 세정력이 그렇게 좋지는 않은 거 같음 옆동네 파랭이는 화장을 지우면 지워진 느낌이 나는데 얘는 지워지긴 한건가? 라는 생각이 강하게 들고 그렇다고 피지가 없어지는 거 같지도 않음,0.3,"피지, 화장"
FC_250802_008,기타,아누아 어성초 피지쏙 모공 폼 150ml,2025.08.02,"23,900원",,,구매 가치/편의,상황/편의,2,2점,긍정,1,화장,세정력이 그렇게 좋지는 않은 거 같음 옆동네 파랭이는 화장을 지우면 지워진 느낌이 나는데,피지 고민으로 샀는데 세정력이 그렇게 좋지는 않은 거 같음 옆동네 파랭이는 화장을 지우면 지워진 느낌이 나는데 얘는 지워지긴 한건가? 라는 생각이 강하게 들고 그렇다고 피지가 없어지는 거 같지도 않음,0.3,"피지, 화장"
FC_250802_008,기타,아누아 어성초 피지쏙 모공 폼 150ml,2025.08.02,"23,900원",,,수분/유분 밸런스,유분/피지,2,2점,보통,0,피지,피지가 없어지는 거 같지도 않음,피지 고민으로 샀는데 세정력이 그렇게 좋지는 않은 거 같음 옆동네 파랭이는 화장을 지우면 지워진 느낌이 나는데 얘는 지워지긴 한건가? 라는 생각이 강하게 들고 그렇다고 피지가 없어지는 거 같지도 않음,0.3,"피지, 화장"
