product_name,product_type,price,날짜,별점,스킨타입,태그,리뷰내용,raw_text,clean_text,quality_score,length,korean_ratio
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,선크림,"34,900원",2026.01.25,5점,,,발림성도 좋고 자급없이 순해서 데일리로 쓰기 딱좋아요~~,발림성도 좋고 자급없이 순해서 데일리로 쓰기 딱좋아요~~,발림성도 좋고 자급없이 순해서 데일리로 쓰기 딱좋아요,0.8,29,0.7931034482758621
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,선크림,"34,900원",2026.01.25,5점,,,자외선 차단제는 눈이따가워서 리뷰보고 샀는대 사용해보고 리뷰남길께요,자외선 차단제는 눈이따가워서 리뷰보고 샀는대 사용해보고 리뷰남길께요,자외선 차단제는 눈이따가워서 리뷰보고 샀는대 사용해보고 리뷰남길께요,1.0,37,0.8378378378378378
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,선크림,"34,900원",2026.01.25,5점,,,"손으로 바르면 좀 오일리하고
쿠션으로 바르면 깔끔해요! 나름 뾰루지 가려져요","손으로 바르면 좀 오일리하고
쿠션으로 바르면 깔끔해요! 나름 뾰루지 가려져요",손으로 바르면 좀 오일리하고 쿠션으로 바르면 깔끔해요! 나름 뾰루지 가려져요,1.0,42,0.7619047619047619
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,선크림,"34,900원",2026.01.25,5점,,한달이상사용,아누아 매벗글 없으면 못살아요 뽀얘가지고 진짜 최고입니다,아누아 매벗글 없으면 못살아요 뽀얘가지고 진짜 최고입니다,아누아 매벗글 없으면 못살아요 뽀얘가지고 진짜 최고입니다,1.0,31,0.8064516129032258
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,선크림,"34,900원",2026.01.25,5점,,,생각보다 촉촉은 모르겠고 매트.? 한걸 넘어서 좀 뻑뻑하기도 한..?? 커버력은 조금 있고 톤업이 좀 잘되네여,생각보다 촉촉은 모르겠고 매트.? 한걸 넘어서 좀 뻑뻑하기도 한..?? 커버력은 조금 있고 톤업이 좀 잘되네여,생각보다 촉촉은 모르겠고 매트.? 한걸 넘어서 좀 뻑뻑하기도 한 커버력은 조금 있고 톤업이 좀 잘되네여,1.0,57,0.7192982456140351
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,선크림,"34,900원",2026.01.25,5점,,,친구가 1번 써 보고 너무 좋다. 그러네요. 와우 종말 탐나요,친구가 1번 써 보고 너무 좋다. 그러네요. 와우 종말 탐나요,친구가 1번 써 보고 너무 좋다. 그러네요. 와우 종말 탐나요,1.0,34,0.6470588235294118
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,선크림,"34,900원",2026.01.25,3점,,,바를땐 그냥 좀 꾸덕한 파데프리같은데 이거쓰고 볼이 좀 간지러워서 긁었더니 잠깐동안 좁쌀같은게 올라와서ㅜ 단독으로 쓰진않고 가끔 파데에 섞어사용하고있어요 이러니까 뭐가 더 나진 않았어요,바를땐 그냥 좀 꾸덕한 파데프리같은데 이거쓰고 볼이 좀 간지러워서 긁었더니 잠깐동안 좁쌀같은게 올라와서ㅜ 단독으로 쓰진않고 가끔 파데에 섞어사용하고있어요 이러니까 뭐가 더 나진 않았어요,바를땐 그냥 좀 꾸덕한 파데프리같은데 이거쓰고 볼이 좀 간지러워서 긁었더니 잠깐동안 좁쌀같은게 올라와서 단독으로 쓰진않고 가끔 파데에 섞어사용하고있어요 이러니까 뭐가 더 나진 않았어요,1.0,102,0.7843137254901961
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,선크림,"34,900원",2026.01.25,5점,,,"매트하면서도 자연스러운 광채를 줍니다. 중간~높은 커버력으로 피부톤을 고르게 정리해주고 모공을 부드럽게 잘 커버해요. 가볍게 밀착되면서 하루 종일 지속됩니다. 번들거림은 잡아주고 건조함은 느껴지지 않아요. 데일리 메이크업부터 특별한 날까지 모두 잘 어울리는 제품이에요.
-It gives a matte finish with a soft natural glow, has medium to high coverage while smoothing skin texture and minimizing pores and controls excess oil without making skin look dry. Good for everyday wear using, suits for combination to oily skin.","매트하면서도 자연스러운 광채를 줍니다. 중간~높은 커버력으로 피부톤을 고르게 정리해주고 모공을 부드럽게 잘 커버해요. 가볍게 밀착되면서 하루 종일 지속됩니다. 번들거림은 잡아주고 건조함은 느껴지지 않아요. 데일리 메이크업부터 특별한 날까지 모두 잘 어울리는 제품이에요.
-It gives a matte finish with a soft natural glow, has medium to high coverage while smoothing skin texture and minimizing pores and controls excess oil without making skin look dry. Good for everyday wear using, suits for combination to oily skin.","매트하면서도 자연스러운 광채를 줍니다. 중간높은 커버력으로 피부톤을 고르게 정리해주고 모공을 부드럽게 잘 커버해요. 가볍게 밀착되면서 하루 종일 지속됩니다. 번들거림은 잡아주고 건조함은 느껴지지 않아요. 데일리 메이크업부터 특별한 날까지 모두 잘 어울리는 제품이에요. -It gives a matte finish with a soft natural glow, has medium to high coverage while smthing skin texture and minimizing pores and controls excess oil without making skin lk dry. Gd for everyday wear using, suits for combination to oily skin.",0.5,392,0.29081632653061223
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,선크림,"34,900원",2026.01.25,5점,"지성, 쿨톤, 잡티, 각질",한달이상사용,"엄마가 사달라고 하셔서 사드렸눈데, 외출하실때마다 잘 쓰고 있대용","엄마가 사달라고 하셔서 사드렸눈데, 외출하실때마다 잘 쓰고 있대용","엄마가 사달라고 하셔서 사드렸눈데, 외출하실때마다 잘 쓰고 있대용",1.0,36,0.7777777777777778
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,선크림,"34,900원",2026.01.25,5점,,한달이상사용,생각보다 촉촉하면서도 마무리감은 보송해서 요즘 데일리로 쓰기 좋아요. 커버력도 적당하고 무너질 때도 예쁘게 무너져요. 피부 표현이 자연스러워서 파데 대신 쓰기 딱 좋아요,생각보다 촉촉하면서도 마무리감은 보송해서 요즘 데일리로 쓰기 좋아요. 커버력도 적당하고 무너질 때도 예쁘게 무너져요. 피부 표현이 자연스러워서 파데 대신 쓰기 딱 좋아요,생각보다 촉촉하면서도 마무리감은 보송해서 요즘 데일리로 쓰기 좋아요. 커버력도 적당하고 무너질 때도 예쁘게 무너져요. 피부 표현이 자연스러워서 파데 대신 쓰기 딱 좋아요,1.0,94,0.7553191489361702
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,선크림,"34,900원",2026.01.24,5점,"복합성, 웜톤, 주름, 각질",,자연스럽게 환해져서 좋아요. 조금만 건조하고 도톰해도 피부가 안좋아 보이는데 두껍지 않아서 좋네요! 아주 촉촉한 느낌은 아니고 이름처럼 적당해요!,자연스럽게 환해져서 좋아요. 조금만 건조하고 도톰해도 피부가 안좋아 보이는데 두껍지 않아서 좋네요! 아주 촉촉한 느낌은 아니고 이름처럼 적당해요!,자연스럽게 환해져서 좋아요. 조금만 건조하고 도톰해도 피부가 안좋아 보이는데 두껍지 않아서 좋네요! 아주 촉촉한 느낌은 아니고 이름처럼 적당해요!,1.0,81,0.7530864197530864
