날짜,별점,스킨타입,태그,리뷰내용,raw_text,clean_text,quality_score,length,korean_ratio
2026.01.09,5점,,,진짜 보습이 중점인 제품이에요 지성이라 화장할 때 바르면 유분이 올라오긴 하는데 광이 돌아서 피부 좋아보여요,진짜 보습이 중점인 제품이에요 지성이라 화장할 때 바르면 유분이 올라오긴 하는데 광이 돌아서 피부 좋아보여요,진짜 보습이 중점인 제품이에요 지성이라 화장할 때 바르면 유분이 올라오긴 하는데 광이 돌아서 피부 좋아보여요,1.0,60,0.7666666666666667
2026.01.05,5점,,,"아누아 제품이 다 순하고 좋은 것 같아요
이것도 자극 없이 순하고 보습력이 좋아서
겨울에 잘 사용할 것 겉습니다","아누아 제품이 다 순하고 좋은 것 같아요
이것도 자극 없이 순하고 보습력이 좋아서
겨울에 잘 사용할 것 겉습니다",아누아 제품이 다 순하고 좋은 것 같아요 이것도 자극 없이 순하고 보습력이 좋아서 겨울에 잘 사용할 것 겉습니다,1.0,62,0.7258064516129032
2026.01.03,4점,,한달이상사용,새로 나왔다고 해서 사봤어요 생각보다 순하고 촉촉해서 좋아요,새로 나왔다고 해서 사봤어요 생각보다 순하고 촉촉해서 좋아요,새로 나왔다고 해서 사봤어요 생각보다 순하고 촉촉해서 좋아요,1.0,33,0.7878787878787878
2025.12.19,5점,,,"1통 꾸준히 사용했는데 겨울철 추울땐
촉촉하게 사용하기 좋아요!!","1통 꾸준히 사용했는데 겨울철 추울땐
촉촉하게 사용하기 좋아요!!",1통 꾸준히 사용했는데 겨울철 추울땐 촉촉하게 사용하기 좋아요!,1.0,35,0.7428571428571429
2025.12.12,5점,,,귱금해서 사본 제품이에요 촉촉하고 좋아요 다음에 또 살것같어요,귱금해서 사본 제품이에요 촉촉하고 좋아요 다음에 또 살것같어요,귱금해서 사본 제품이에요 촉촉하고 좋아요 다음에 또 살것같어요,1.0,34,0.7941176470588235
2025.12.10,5점,"복합성, 웜톤, 잡티, 미백",,많은 양을 쓰지 않아도 촉촉하고 피부결이 매끈해지고 자극없이 순해서 좋아요,많은 양을 쓰지 않아도 촉촉하고 피부결이 매끈해지고 자극없이 순해서 좋아요,많은 양을 쓰지 않아도 촉촉하고 피부결이 매끈해지고 자극없이 순해서 좋아요,1.0,41,0.7804878048780488
2025.11.30,5점,,,"아누아 어성초 세럼 보다 촉촉해요
원래 면세에서 사려고 했는데 올영이 더 저렴해서 의문..
비슷한 쌀 원료 제품인 무인양품 보다 양도 많고 좋아요
건성한테 조금 건조할 수도 있을 것 같아요","아누아 어성초 세럼 보다 촉촉해요
원래 면세에서 사려고 했는데 올영이 더 저렴해서 의문..
비슷한 쌀 원료 제품인 무인양품 보다 양도 많고 좋아요
건성한테 조금 건조할 수도 있을 것 같아요",아누아 어성초 세럼 보다 촉촉해요 원래 면세에서 사려고 했는데 올영이 더 저렴해서 의문. 비슷한 쌀 원료 제품인 무인양품 보다 양도 많고 좋아요 건성한테 조금 건조할 수도 있을 것 같아요,1.0,104,0.7211538461538461
2025.11.25,5점,,,새로 나와서 써보고 싶었어요 촉촉하고 좋아요 할인 자주 해주세요,새로 나와서 써보고 싶었어요 촉촉하고 좋아요 할인 자주 해주세요,새로 나와서 써보고 싶었어요 촉촉하고 좋아요 할인 자주 해주세요,1.0,35,0.7714285714285715
2025.11.17,5점,"민감성, 여름쿨톤, 잡티, 주름",,여러 번 발라도 부담이 없고 흡수도 빨라요. 며칠 사용했더니 피부결이 차분해지고 건조함도 금방 완화돼요,여러 번 발라도 부담이 없고 흡수도 빨라요. 며칠 사용했더니 피부결이 차분해지고 건조함도 금방 완화돼요,여러 번 발라도 부담이 없고 흡수도 빨라요. 며칠 사용했더니 피부결이 차분해지고 건조함도 금방 완화돼요,1.0,57,0.7543859649122807
2025.11.15,5점,"복합성, 쿨톤, 탄력",,나이아신아마이드랑 알부틴이 들어간 세럼을 따로 사용했었는데 이제품은 한개로 해결가능해서 좋았습니다,나이아신아마이드랑 알부틴이 들어간 세럼을 따로 사용했었는데 이제품은 한개로 해결가능해서 좋았습니다,나이아신아마이드랑 알부틴이 들어간 세럼을 따로 사용했었는데 이제품은 한개로 해결가능해서 좋았습니다,1.0,54,0.8333333333333334
