날짜,별점,스킨타입,태그,리뷰내용,raw_text,clean_text,quality_score,length,korean_ratio
2026.01.25,3점,,한달이상사용,"엄 아무래도 바이럴빨이 없진 않고
그렇다고 효과가 제로인건 아님
나름 진정이 되지만 드라마틱하지 않은ㅠ
가아끔 쓸듯 재구매 의사는 없습니더","엄 아무래도 바이럴빨이 없진 않고
그렇다고 효과가 제로인건 아님
나름 진정이 되지만 드라마틱하지 않은ㅠ
가아끔 쓸듯 재구매 의사는 없습니더",엄 아무래도 바이럴빨이 없진 않고 그렇다고 효과가 제로인건 아님 나름 진정이 되지만 드라마틱하지 않은 가아끔 쓸듯 재구매 의사는 없습니더,1.0,76,0.7631578947368421
2026.01.25,5점,"건성, 봄웜톤, 잡티, 트러블",,"단독으로사용하면 조금 건조해서 수분크림위에 듬뿍바르고
자고일어나면 피부컨디션조아요","단독으로사용하면 조금 건조해서 수분크림위에 듬뿍바르고
자고일어나면 피부컨디션조아요",단독으로사용하면 조금 건조해서 수분크림위에 듬뿍바르고 자고일어나면 피부컨디션조아요,1.0,45,0.8666666666666667
2026.01.25,4점,"중성, 여름쿨톤",,아직 많이 안써봐서 잘 모르겟어요 이게 흔적에 좋은강..??? 조금 더 지켜봐야할듯,아직 많이 안써봐서 잘 모르겟어요 이게 흔적에 좋은강..??? 조금 더 지켜봐야할듯,아직 많이 안써봐서 잘 모르겟어요 이게 흔적에 좋은강 조금 더 지켜봐야할듯,1.0,41,0.7560975609756098
2026.01.25,5점,,한달이상사용,지금 2통째 쓰고 있는데 고민 부위에 올리면 돼요. 엄청 효과가 좋고 그런건 아닌데 그냥저냥 쓰고 있어요,지금 2통째 쓰고 있는데 고민 부위에 올리면 돼요. 엄청 효과가 좋고 그런건 아닌데 그냥저냥 쓰고 있어요,지금 2통째 쓰고 있는데 고민 부위에 올리면 돼요. 엄청 효과가 좋고 그런건 아닌데 그냥저냥 쓰고 있어요,1.0,58,0.7068965517241379
2026.01.25,5점,,한달이상사용,좋은건가..싶기도하고 바이럴인가 싶기도 하고 참 애매 효과잇네 하면 사라짐,좋은건가..싶기도하고 바이럴인가 싶기도 하고 참 애매 효과잇네 하면 사라짐,좋은건가.싶기도하고 바이럴인가 싶기도 하고 참 애매 효과잇네 하면 사라짐,1.0,40,0.775
2026.01.25,5점,,"한달이상사용, 재구매",꾸준히 쓰니까 붉은기도 잡아주는 거 같고 진정에듀 좋은 거 같아요 추천합니둥,꾸준히 쓰니까 붉은기도 잡아주는 거 같고 진정에듀 좋은 거 같아요 추천합니둥,꾸준히 쓰니까 붉은기도 잡아주는 거 같고 진정에듀 좋은 거 같아요 추천합니둥,1.0,42,0.7619047619047619
2026.01.25,5점,,한달이상사용,"뭐 올라오기 시작할 때 발라주고 있는데, 효과가 있는 것 같기도 하고..","뭐 올라오기 시작할 때 발라주고 있는데, 효과가 있는 것 같기도 하고..","뭐 올라오기 시작할 때 발라주고 있는데, 효과가 있는 것 같기도 하고.",1.0,39,0.6923076923076923
2026.01.25,5점,,한달이상사용,고민부위에 펼쳐바르먄 어성초성분이 흡수되어 진정시켜줍니다,고민부위에 펼쳐바르먄 어성초성분이 흡수되어 진정시켜줍니다,고민부위에 펼쳐바르먄 어성초성분이 흡수되어 진정시켜줍니다,1.0,31,0.8709677419354839
2026.01.24,4점,"민감성, 봄웜톤, 잡티, 미백",,수분크림 효과는 아니고 흔적 진정 같은데 사용감 괜찮아요 효과는 천천히 나타나는 듯해요,수분크림 효과는 아니고 흔적 진정 같은데 사용감 괜찮아요 효과는 천천히 나타나는 듯해요,수분크림 효과는 아니고 흔적 진정 같은데 사용감 괜찮아요 효과는 천천히 나타나는 듯해요,1.0,48,0.7708333333333334
2026.01.24,5점,,,첨에는 좋앗는데 쓰다보니까 여드름이 나는 거 같아요 저 광고에 속은 거 겟죠..?,첨에는 좋앗는데 쓰다보니까 여드름이 나는 거 같아요 저 광고에 속은 거 겟죠..?,첨에는 좋앗는데 쓰다보니까 여드름이 나는 거 같아요 저 광고에 속은 거 겟죠,1.0,42,0.7380952380952381
2026.01.23,5점,"지성, 가을웜톤, 트러블, 피지과다",,처음엔 여드름이 더나서 좀 당황함. 그런데 아니에용 그냥 익어가는 과정중 하나여서 더 올라온다고 생각함. 효과 좋습니다 특히 흔적에 도움된다고 느껴써용,처음엔 여드름이 더나서 좀 당황함. 그런데 아니에용 그냥 익어가는 과정중 하나여서 더 올라온다고 생각함. 효과 좋습니다 특히 흔적에 도움된다고 느껴써용,처음엔 여드름이 더나서 좀 당황함. 그런데 아니에용 그냥 익어가는 과정중 하나여서 더 올라온다고 생각함. 효과 좋습니다 특히 흔적에 도움된다고 느껴써용,1.0,84,0.75
2026.01.23,5점,"트러블성, 가을웜톤, 트러블",,인스타 광고로 엄청 돌고있는거 구매해봤어요 아누아이미 스킨케어 사용중이니 효과당연히 있을것같아요,인스타 광고로 엄청 돌고있는거 구매해봤어요 아누아이미 스킨케어 사용중이니 효과당연히 있을것같아요,인스타 광고로 엄청 돌고있는거 구매해봤어요 아누아이미 스킨케어 사용중이니 효과당연히 있을것같아요,1.0,53,0.8301886792452831
2026.01.23,5점,,,유명해서 사봣는데 보습에 좋아서 잘쓰고 있어요!!! 미백에도 도움된다해서 꾸준히 써보는 중입니당,유명해서 사봣는데 보습에 좋아서 잘쓰고 있어요!!! 미백에도 도움된다해서 꾸준히 써보는 중입니당,유명해서 사봣는데 보습에 좋아서 잘쓰고 있어요 미백에도 도움된다해서 꾸준히 써보는 중입니당,1.0,50,0.8
2026.01.22,5점,,,여드름나기 시작한 딸 피부에 자극적이지않고 순하고 좋은거 같아요,여드름나기 시작한 딸 피부에 자극적이지않고 순하고 좋은거 같아요,여드름나기 시작한 딸 피부에 자극적이지않고 순하고 좋은거 같아요,1.0,35,0.8
2026.01.22,5점,,한달이상사용,브랜드 대표 제품답게 제품력이 아주 좋습니다. 추천드려요,브랜드 대표 제품답게 제품력이 아주 좋습니다. 추천드려요,브랜드 대표 제품답게 제품력이 아주 좋습니다. 추천드려요,1.0,31,0.7741935483870968
2026.01.22,5점,,"한달이상사용, 재구매","항상 재구매 입니다!! 좋아요~
다음에 또 사러 올게요!!~","항상 재구매 입니다!! 좋아요~
다음에 또 사러 올게요!!~",항상 재구매 입니다! 좋아요 다음에 또 사러 올게요,0.8,28,0.7142857142857143
