날짜,별점,스킨타입,태그,리뷰내용,raw_text,clean_text,quality_score,length,korean_ratio
2026.01.19,5점,,재구매,가벼운 제형이 피부에 빠르게 흡수된다. 끈적임 없이 산뜻한 마무감이 인상적이다. 사용 후 피부가 맑아 보이고 균일해진 느낌을 준다. 자극 없이 편안해 매일 사용하기 좋다. 다른 제품과 함께 사용해도 겉돌지 않는다. 피부 컨디션이 들쭉날쭉할 때 안정감을 준다. 관리 루틴에 자연스럽게 포함된다.,가벼운 제형이 피부에 빠르게 흡수된다. 끈적임 없이 산뜻한 마무감이 인상적이다. 사용 후 피부가 맑아 보이고 균일해진 느낌을 준다. 자극 없이 편안해 매일 사용하기 좋다. 다른 제품과 함께 사용해도 겉돌지 않는다. 피부 컨디션이 들쭉날쭉할 때 안정감을 준다. 관리 루틴에 자연스럽게 포함된다.,가벼운 제형이 피부에 빠르게 흡수된다. 끈적임 없이 산뜻한 마무감이 인상적이다. 사용 후 피부가 맑아 보이고 균일해진 느낌을 준다. 자극 없이 편안해 매일 사용하기 좋다. 다른 제품과 함께 사용해도 겉돌지 않는다. 피부 컨디션이 들쭉날쭉할 때 안정감을 준다. 관리 루틴에 자연스럽게 포함된다.,1.0,163,0.7177914110429447
2026.01.18,5점,,"한달이상사용, 재구매",좋아요! 역시 아누아 제품은 믿고 쓰는 것 같아여! 3통째 입니당!,좋아요! 역시 아누아 제품은 믿고 쓰는 것 같아여! 3통째 입니당!,좋아요! 역시 아누아 제품은 믿고 쓰는 것 같아여! 3통째 입니당!,1.0,37,0.6486486486486487
2026.01.18,5점,,,"일단 트러블이 없어서 세개째 사용중. 바르면 빨리 흡수되고 엄청 촉촉한건 아니라서 로션, 크림 발리줌.","일단 트러블이 없어서 세개째 사용중. 바르면 빨리 흡수되고 엄청 촉촉한건 아니라서 로션, 크림 발리줌.","일단 트러블이 없어서 세개째 사용중. 바르면 빨리 흡수되고 엄청 촉촉한건 아니라서 로션, 크림 발리줌.",1.0,57,0.7192982456140351
2026.01.16,2점,,,"리뷰를 보고 구입했어요.
환해지고 잡티가 없어진다는데 40대후반에겐 아무런 변화가 없네요.
잡티 더 생기고 환해지는 것도 모르겠고 오히려 바이오×보 미스트 뿌리면 더 촉촉 환해짐.
1통 다 쓰면 달라질까 하며 한통 다 써도 그냥 그래요.
안 바른거보다 화장품 바르니 촉촉한 정도.","리뷰를 보고 구입했어요.
환해지고 잡티가 없어진다는데 40대후반에겐 아무런 변화가 없네요.
잡티 더 생기고 환해지는 것도 모르겠고 오히려 바이오×보 미스트 뿌리면 더 촉촉 환해짐.
1통 다 쓰면 달라질까 하며 한통 다 써도 그냥 그래요.
안 바른거보다 화장품 바르니 촉촉한 정도.",리뷰를 보고 구입했어요. 환해지고 잡티가 없어진다는데 40대후반에겐 아무런 변화가 없네요. 잡티 더 생기고 환해지는 것도 모르겠고 오히려 바이오보 미스트 뿌리면 더 촉촉 환해짐. 1통 다 쓰면 달라질까 하며 한통 다 써도 그냥 그래요. 안 바른거보다 화장품 바르니 촉촉한 정도.,1.0,155,0.7032258064516129
2026.01.15,5점,,한달이상사용,"효과도 모르겠고 발랐을때 찐뜩해요
흔적은 그대로 남아있는데 얼굴은 찐뜩하고
다 썼는데 효과가 아예 없어요","효과도 모르겠고 발랐을때 찐뜩해요
흔적은 그대로 남아있는데 얼굴은 찐뜩하고
다 썼는데 효과가 아예 없어요",효과도 모르겠고 발랐을때 찐뜩해요 흔적은 그대로 남아있는데 얼굴은 찐뜩하고 다 썼는데 효과가 아예 없어요,1.0,58,0.7758620689655172
2026.01.13,5점,,한달이상사용,좋은 것 같아오 요즘 이 브랜드에 빠져서 쟁여놓는중 촉촉해서 건성에도 잘맞아요,좋은 것 같아오 요즘 이 브랜드에 빠져서 쟁여놓는중 촉촉해서 건성에도 잘맞아요,좋은 것 같아오 요즘 이 브랜드에 빠져서 쟁여놓는중 촉촉해서 건성에도 잘맞아요,1.0,43,0.7674418604651163
2026.01.13,3점,,,아니 피디알엔 미스트 직원분이 이거사라고 해서 그건줄 알았는데 뭔 이상한걸 샀네 뭔가 박스가 작다 했는데 다른거엿어;;;;;;;;;뜯어서 개봉도 안되고 한번 발라보니 피부 뒤집힘 하,아니 피디알엔 미스트 직원분이 이거사라고 해서 그건줄 알았는데 뭔 이상한걸 샀네 뭔가 박스가 작다 했는데 다른거엿어;;;;;;;;;뜯어서 개봉도 안되고 한번 발라보니 피부 뒤집힘 하,아니 피디알엔 미스트 직원분이 이거사라고 해서 그건줄 알았는데 뭔 이상한걸 샀네 뭔가 박스가 작다 했는데 다른거엿어뜯어서 개봉도 안되고 한번 발라보니 피부 뒤집힘 하,1.0,92,0.7608695652173914
2026.01.12,5점,,한달이상사용,누구나 무난하게 쓸 수 있는 제품이에요. 몇 통 째 선물했나 모르겠어요,누구나 무난하게 쓸 수 있는 제품이에요. 몇 통 째 선물했나 모르겠어요,누구나 무난하게 쓸 수 있는 제품이에요. 몇 통 째 선물했나 모르겠어요,1.0,39,0.717948717948718
2026.01.12,5점,,한달이상사용,친구들 선물용으로 산건데 특히 외국인 친구들이 좋아해요 무난하게 쓸 수 있는제품,친구들 선물용으로 산건데 특히 외국인 친구들이 좋아해요 무난하게 쓸 수 있는제품,친구들 선물용으로 산건데 특히 외국인 친구들이 좋아해요 무난하게 쓸 수 있는제품,1.0,44,0.7727272727272727
2026.01.12,5점,,한달이상사용,친구 생일선물로 줬어요 완전 좋을것같앙용 이거 쓰는 사람 주변에서 많이 보아요,친구 생일선물로 줬어요 완전 좋을것같앙용 이거 쓰는 사람 주변에서 많이 보아요,친구 생일선물로 줬어요 완전 좋을것같앙용 이거 쓰는 사람 주변에서 많이 보아요,1.0,43,0.7674418604651163
