날짜,별점,스킨타입,태그,리뷰내용,raw_text,clean_text,quality_score,length,korean_ratio
2026.01.21,5점,,한달이상사용,명동에 갔을 때 직원분 추천으로 샀는데 무난하니 좋은 것 같아요,명동에 갔을 때 직원분 추천으로 샀는데 무난하니 좋은 것 같아요,명동에 갔을 때 직원분 추천으로 샀는데 무난하니 좋은 것 같아요,1.0,35,0.7428571428571429
2026.01.17,4점,"지성, 여름쿨톤, 각질, 블랙헤드",한달이상사용,항상 잘 사용 중입니다. 제품은 아내가 항상 좋다고 얘기하고 신제품 나오면 항상 사용하려고 합니다,항상 잘 사용 중입니다. 제품은 아내가 항상 좋다고 얘기하고 신제품 나오면 항상 사용하려고 합니다,항상 잘 사용 중입니다. 제품은 아내가 항상 좋다고 얘기하고 신제품 나오면 항상 사용하려고 합니다,1.0,54,0.7407407407407407
2026.01.16,5점,,한달이상사용,"한 통 꼬박꼬박 두 번씩 발랐는데 효과는 사실 모르겠고
그냥 보습 잘 됨 그나마 좀 맑아진 느낌은 있는듯..? 없는듯..? 근데 생긴게 넘 이뻐서 또 살거임","한 통 꼬박꼬박 두 번씩 발랐는데 효과는 사실 모르겠고
그냥 보습 잘 됨 그나마 좀 맑아진 느낌은 있는듯..? 없는듯..? 근데 생긴게 넘 이뻐서 또 살거임",한 통 꼬박꼬박 두 번씩 발랐는데 효과는 사실 모르겠고 그냥 보습 잘 됨 그나마 좀 맑아진 느낌은 있는듯 없는듯 근데 생긴게 넘 이뻐서 또 살거임,1.0,81,0.7037037037037037
2026.01.12,5점,,,복숭아향 은은해서 바를 때 기분 좋아짐 🍑 제형 가볍고 끈적임 없어서 바로 흡수됨. 나이아신아마이드 들어가서 톤 정리되는 느낌 있고 메이크업 전에 써도 밀림 없음. 자극 없이 데일리로 쓰기 딱 좋은 세럼임 👍,복숭아향 은은해서 바를 때 기분 좋아짐 🍑 제형 가볍고 끈적임 없어서 바로 흡수됨. 나이아신아마이드 들어가서 톤 정리되는 느낌 있고 메이크업 전에 써도 밀림 없음. 자극 없이 데일리로 쓰기 딱 좋은 세럼임 👍,복숭아향 은은해서 바를 때 기분 좋아짐 제형 가볍고 끈적임 없어서 바로 흡수됨. 나이아신아마이드 들어가서 톤 정리되는 느낌 있고 메이크업 전에 써도 밀림 없음. 자극 없이 데일리로 쓰기 딱 좋은 세럼임,1.0,112,0.7232142857142857
2026.01.07,5점,,재구매,"제형이 가볍고 흡수가 빠른 편이라 끈적임 싫어하는 사람에게 좋아요. 꾸준히 바르니 피부 톤이 균일해지는 느낌이 있었고, 자극 없이 데일리로 쓰기 무난했습니다.","제형이 가볍고 흡수가 빠른 편이라 끈적임 싫어하는 사람에게 좋아요. 꾸준히 바르니 피부 톤이 균일해지는 느낌이 있었고, 자극 없이 데일리로 쓰기 무난했습니다.","제형이 가볍고 흡수가 빠른 편이라 끈적임 싫어하는 사람에게 좋아요. 꾸준히 바르니 피부 톤이 균일해지는 느낌이 있었고, 자극 없이 데일리로 쓰기 무난했습니다.",1.0,88,0.7386363636363636
2026.01.07,5점,,한달이상사용,한 달 내내 사용해보니 과하지 않은 구성이라 꾸준히 쓰기 좋았습니다. 자연스럽게 이어지는 흐름이 안정적이어서 만족스럽게 느껴졌습니다. 다양한 상황에서도 무리 없었습니다.,한 달 내내 사용해보니 과하지 않은 구성이라 꾸준히 쓰기 좋았습니다. 자연스럽게 이어지는 흐름이 안정적이어서 만족스럽게 느껴졌습니다. 다양한 상황에서도 무리 없었습니다.,한 달 내내 사용해보니 과하지 않은 구성이라 꾸준히 쓰기 좋았습니다. 자연스럽게 이어지는 흐름이 안정적이어서 만족스럽게 느껴졌습니다. 다양한 상황에서도 무리 없었습니다.,1.0,94,0.7659574468085106
2026.01.06,5점,,,향도 좋고 재구매템이애요! 진심으로 사랑합니다 미백도 됀다는데 그건 아직 효과를 모르겠어요,향도 좋고 재구매템이애요! 진심으로 사랑합니다 미백도 됀다는데 그건 아직 효과를 모르겠어요,향도 좋고 재구매템이애요! 진심으로 사랑합니다 미백도 됀다는데 그건 아직 효과를 모르겠어요,1.0,50,0.78
2026.01.06,5점,"건성, 봄웜톤",,이거 사용했는데 한 일주일만 지나도 얼굴이 화사해지는게 느껴져요!,이거 사용했는데 한 일주일만 지나도 얼굴이 화사해지는게 느껴져요!,이거 사용했는데 한 일주일만 지나도 얼굴이 화사해지는게 느껴져요!,1.0,36,0.7777777777777778
2026.01.03,5점,,한달이상사용,고딩 딸아이가 갖구 싶어해서 구매해줬네요~ 순하고 좋다네요~ 굿입니당~,고딩 딸아이가 갖구 싶어해서 구매해줬네요~ 순하고 좋다네요~ 굿입니당~,고딩 딸아이가 갖구 싶어해서 구매해줬네요 순하고 좋다네요 굿입니당,1.0,36,0.8055555555555556
2026.01.01,5점,,,"이거 진짜 좋음요
이거 하고 피부에 광이 돋는걸 느꼈어요
얼굴톤도 환해지고 결도 부드러워지고 넘 좋음!","이거 진짜 좋음요
이거 하고 피부에 광이 돋는걸 느꼈어요
얼굴톤도 환해지고 결도 부드러워지고 넘 좋음!",이거 진짜 좋음요 이거 하고 피부에 광이 돋는걸 느꼈어요 얼굴톤도 환해지고 결도 부드러워지고 넘 좋음!,1.0,57,0.7368421052631579
