날짜,별점,스킨타입,태그,리뷰내용,raw_text,clean_text,quality_score,length,korean_ratio
2026.01.22,5점,,"한달이상사용, 재구매",촉촉하고 보들쫀쫀해요 만족하며 사용중@@!! ㅎㅎ 감사합니다,촉촉하고 보들쫀쫀해요 만족하며 사용중@@!! ㅎㅎ 감사합니다,촉촉하고 보들쫀쫀해요 만족하며 사용중 감사합니다,0.8,26,0.8461538461538461
2026.01.22,5점,,"한달이상사용, 재구매",자극없이 순하고 촉촉하게 쓰기조은 수분크림!! 잘쓰고 잇어영,자극없이 순하고 촉촉하게 쓰기조은 수분크림!! 잘쓰고 잇어영,자극없이 순하고 촉촉하게 쓰기조은 수분크림! 잘쓰고 잇어영,1.0,32,0.78125
2026.01.13,5점,,재구매,피부가 너무 좋아졌어요. 너무 감사합니다.굿 깔끔해요!,피부가 너무 좋아졌어요. 너무 감사합니다.굿 깔끔해요!,피부가 너무 좋아졌어요. 너무 감사합니다.굿 깔끔해요!,1.0,30,0.7333333333333333
2026.01.11,5점,,,"수분크림 정착할거 같아요
너무 순하고 기름지지도 않고 딱 보습 구자체","수분크림 정착할거 같아요
너무 순하고 기름지지도 않고 딱 보습 구자체",수분크림 정착할거 같아요 너무 순하고 기름지지도 않고 딱 보습 구자체,1.0,38,0.7631578947368421
2026.01.08,5점,,한달이상사용,효과가 있는 것 같습니다.꾸준히 사용하겠습니다.재구매 의향 있습니다.,효과가 있는 것 같습니다.꾸준히 사용하겠습니다.재구매 의향 있습니다.,효과가 있는 것 같습니다.꾸준히 사용하겠습니다.재구매 의향 있습니다.,1.0,38,0.7631578947368421
2026.01.06,5점,,"한달이상사용, 재구매",순하고 자극없어 정말 좋아하는 크림이에요! 트러블 많은데 수분 필요할때 딱 이친구 ㅎㅎ,순하고 자극없어 정말 좋아하는 크림이에요! 트러블 많은데 수분 필요할때 딱 이친구 ㅎㅎ,순하고 자극없어 정말 좋아하는 크림이에요! 트러블 많은데 수분 필요할때 딱 이친구,1.0,45,0.7555555555555555
2026.01.02,5점,,"한달이상사용, 재구매",예민피부인데 요 친구는 오히려 예민함을 잠재워주주는 촉촉크림 ㅎㅎ,예민피부인데 요 친구는 오히려 예민함을 잠재워주주는 촉촉크림 ㅎㅎ,예민피부인데 요 친구는 오히려 예민함을 잠재워주주는 촉촉크림,1.0,33,0.8181818181818182
2026.01.02,4점,"복합성, 봄웜톤, 잡티, 미백",재구매,자극도없고 진정도 너무잘되고 피부컨디션이 좋아지는데 별로안유명해서 단종될까봐 세일할때마다 3개씩은 사는거같아요,자극도없고 진정도 너무잘되고 피부컨디션이 좋아지는데 별로안유명해서 단종될까봐 세일할때마다 3개씩은 사는거같아요,자극도없고 진정도 너무잘되고 피부컨디션이 좋아지는데 별로안유명해서 단종될까봐 세일할때마다 3개씩은 사는거같아요,1.0,61,0.8360655737704918
2025.12.23,5점,,"한달이상사용, 재구매",발림성도 좋고 흡수도 빨라요. 끈적이지 않고 산뜻해요. ㅎㅎ 추천 드려요!!,발림성도 좋고 흡수도 빨라요. 끈적이지 않고 산뜻해요. ㅎㅎ 추천 드려요!!,발림성도 좋고 흡수도 빨라요. 끈적이지 않고 산뜻해요. 추천 드려요!,1.0,38,0.7105263157894737
2025.12.22,5점,,"한달이상사용, 재구매",사용 후 피부가 매끄럽고 윤기가 나요. 부드러워요 추천 드려요 ㅎㅎ!!,사용 후 피부가 매끄럽고 윤기가 나요. 부드러워요 추천 드려요 ㅎㅎ!!,사용 후 피부가 매끄럽고 윤기가 나요. 부드러워요 추천 드려요 !,1.0,36,0.6944444444444444
2025.12.19,5점,,재구매,순하고 촉촉하니 조아영 ㅎㅎ 수딩크림 사랑하는데 요친구도 픽,순하고 촉촉하니 조아영 ㅎㅎ 수딩크림 사랑하는데 요친구도 픽,순하고 촉촉하니 조아영 수딩크림 사랑하는데 요친구도 픽,1.0,30,0.8
2025.12.15,5점,,"한달이상사용, 재구매","제형이 가볍고 산뜻해서 부담 없이 사용하기 좋았습니다. 바르자마자 빠르게 흡수되고 끈적임이 거의 없어서 아침, 저녁 모두 편하게 쓸 수 있었어요. 피부가 예민해졌을 때 발라주면 열감이 가라앉는 느낌이 들었고, 유분감이 많지 않아 지성이나 복합성 피부에도 잘 맞을 것 같았습니다. 데일리 진정용 크림으로 무난하게 손이 가는 제품이라고 느꼈습니다.","제형이 가볍고 산뜻해서 부담 없이 사용하기 좋았습니다. 바르자마자 빠르게 흡수되고 끈적임이 거의 없어서 아침, 저녁 모두 편하게 쓸 수 있었어요. 피부가 예민해졌을 때 발라주면 열감이 가라앉는 느낌이 들었고, 유분감이 많지 않아 지성이나 복합성 피부에도 잘 맞을 것 같았습니다. 데일리 진정용 크림으로 무난하게 손이 가는 제품이라고 느꼈습니다.","제형이 가볍고 산뜻해서 부담 없이 사용하기 좋았습니다. 바르자마자 빠르게 흡수되고 끈적임이 거의 없어서 아침, 저녁 모두 편하게 쓸 수 있었어요. 피부가 예민해졌을 때 발라주면 열감이 가라앉는 느낌이 들었고, 유분감이 많지 않아 지성이나 복합성 피부에도 잘 맞을 것 같았습니다. 데일리 진정용 크림으로 무난하게 손이 가는 제품이라고 느꼈습니다.",1.0,192,0.734375
2025.12.13,5점,,재구매,무겁지 않고 산뜻하게 수분만 채워주는 느낌이라 메이크업 전에도 좋고 데일리로도 참 좋아용 :),무겁지 않고 산뜻하게 수분만 채워주는 느낌이라 메이크업 전에도 좋고 데일리로도 참 좋아용 :),무겁지 않고 산뜻하게 수분만 채워주는 느낌이라 메이크업 전에도 좋고 데일리로도 참 좋아용,1.0,49,0.7755102040816326
2025.12.07,5점,,,늘 사용하던 제품입니다.행사하기에 구매했습니다.배송도 빠릅니다.,늘 사용하던 제품입니다.행사하기에 구매했습니다.배송도 빠릅니다.,늘 사용하던 제품입니다.행사하기에 구매했습니다.배송도 빠릅니다.,1.0,35,0.8
2025.12.01,5점,,재구매,너무 좋아요 올 겨울 요친구로 진정진정시켜볼려구용~~ㅎㅎㅎ,너무 좋아요 올 겨울 요친구로 진정진정시켜볼려구용~~ㅎㅎㅎ,너무 좋아요 올 겨울 요친구로 진정진정시켜볼려구용,0.8,27,0.8148148148148148
2025.12.01,5점,,재구매,자극이 적고 진정이 잘 되는 크림이에요 보습은 원하는데 조금 트러블이 올라오거나 할때 선택하며 사용중인데 잘쓰고 있어요!,자극이 적고 진정이 잘 되는 크림이에요 보습은 원하는데 조금 트러블이 올라오거나 할때 선택하며 사용중인데 잘쓰고 있어요!,자극이 적고 진정이 잘 되는 크림이에요 보습은 원하는데 조금 트러블이 올라오거나 할때 선택하며 사용중인데 잘쓰고 있어요!,1.0,67,0.7611940298507462
2025.12.01,5점,,한달이상사용,유튜브 보고 좁쌀에 좋다길래 사봤어요 저는 복합성인데 잘때 유분이 좀 나와서 아스트리아 크림 바르고 자면 좁쌀 폭탄되거든여? 근데 보습이 중요한지알고 아스트리아 왕창 발랏다가 이마 좁쌀 폭탄맞았는데 그거 ㅂ복구하려고 이거 써봤는데 요즘에 하나도 안나요,유튜브 보고 좁쌀에 좋다길래 사봤어요 저는 복합성인데 잘때 유분이 좀 나와서 아스트리아 크림 바르고 자면 좁쌀 폭탄되거든여? 근데 보습이 중요한지알고 아스트리아 왕창 발랏다가 이마 좁쌀 폭탄맞았는데 그거 ㅂ복구하려고 이거 써봤는데 요즘에 하나도 안나요,유튜브 보고 좁쌀에 좋다길래 사봤어요 저는 복합성인데 잘때 유분이 좀 나와서 아스트리아 크림 바르고 자면 좁쌀 폭탄되거든여? 근데 보습이 중요한지알고 아스트리아 왕창 발랏다가 이마 좁쌀 폭탄맞았는데 그거 복구하려고 이거 써봤는데 요즘에 하나도 안나요,1.0,139,0.762589928057554
2025.11.29,5점,"트러블성, 쿨톤, 잡티, 트러블",,촉촉해요! 완전 지성이 쓰면 될거 같아요 보습은 좀 약해요!,촉촉해요! 완전 지성이 쓰면 될거 같아요 보습은 좀 약해요!,촉촉해요! 완전 지성이 쓰면 될거 같아요 보습은 좀 약해요!,1.0,33,0.696969696969697
2025.11.27,5점,,재구매,순하고 촉촉해서 좋아요 향도 없어서 저는 좋았습니다 !! 굿,순하고 촉촉해서 좋아요 향도 없어서 저는 좋았습니다 !! 굿,순하고 촉촉해서 좋아요 향도 없어서 저는 좋았습니다 ! 굿,1.0,32,0.71875
2025.11.11,5점,,재구매,"피부가 예민해서 이것저것 쓰면 금방 붉어지는데, 이 수딩크림은 자극 없이 편안하게 발려서 좋아요. 발랐을 때 흡수도 빠르고 끈적이지 않아 데일리로 쓰기 딱이에요. 특히 화장하고 난 뒤나 세안 후에 발라주면 피부가 촉촉하고 진정되는 느낌이라 만족스러워요. 향도 은은해서 부담 없고, 꾸준히 쓰니까 붉은기랑 민감함이 확실히 줄어든 느낌이에요.","피부가 예민해서 이것저것 쓰면 금방 붉어지는데, 이 수딩크림은 자극 없이 편안하게 발려서 좋아요. 발랐을 때 흡수도 빠르고 끈적이지 않아 데일리로 쓰기 딱이에요. 특히 화장하고 난 뒤나 세안 후에 발라주면 피부가 촉촉하고 진정되는 느낌이라 만족스러워요. 향도 은은해서 부담 없고, 꾸준히 쓰니까 붉은기랑 민감함이 확실히 줄어든 느낌이에요.","피부가 예민해서 이것저것 쓰면 금방 붉어지는데, 이 수딩크림은 자극 없이 편안하게 발려서 좋아요. 발랐을 때 흡수도 빠르고 끈적이지 않아 데일리로 쓰기 딱이에요. 특히 화장하고 난 뒤나 세안 후에 발라주면 피부가 촉촉하고 진정되는 느낌이라 만족스러워요. 향도 은은해서 부담 없고, 꾸준히 쓰니까 붉은기랑 민감함이 확실히 줄어든 느낌이에요.",1.0,189,0.7354497354497355
