product_name,product_type,price,날짜,별점,스킨타입,태그,리뷰내용,raw_text,clean_text,quality_score,length,korean_ratio
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입(+20ml),클렌징오일,40000,2026.01.25,5점,,,"""유화가 진짜 빨라서 세안 후 미끄덩거림이 1도 없어요! 블랙헤드 녹이는 데 이만한 게 없어서 세일할 때마다 쟁여둡니다. 눈 시림도 없어서 너무 좋아요.""","""유화가 진짜 빨라서 세안 후 미끄덩거림이 1도 없어요! 블랙헤드 녹이는 데 이만한 게 없어서 세일할 때마다 쟁여둡니다. 눈 시림도 없어서 너무 좋아요.""",유화가 진짜 빨라서 세안 후 미끄덩거림이 1도 없어요! 블랙헤드 녹이는 데 이만한 게 없어서 세일할 때마다 쟁여둡니다. 눈 시림도 없어서 너무 좋아요.,1.0,84,0.7023809523809523
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입(+20ml),클렌징오일,40000,2026.01.25,5점,,,"이 클렌징 오일말 4통째 사용하고있어요ㅜㅜ 피지 잘빠지고, 풀메도 거뜬하게 지워지는데 자극없는게 신기할 정도에요!!","이 클렌징 오일말 4통째 사용하고있어요ㅜㅜ 피지 잘빠지고, 풀메도 거뜬하게 지워지는데 자극없는게 신기할 정도에요!!","이 클렌징 오일말 4통째 사용하고있어요 피지 잘빠지고, 풀메도 거뜬하게 지워지는데 자극없는게 신기할 정도에요!",1.0,61,0.7540983606557377
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입(+20ml),클렌징오일,40000,2026.01.25,5점,,,피지 잘 나오고 블랙헤드도 잘 없애줘서 좋아요 피지 나오는거 실시간 구걍 가능 냠새도 젛아요,피지 잘 나오고 블랙헤드도 잘 없애줘서 좋아요 피지 나오는거 실시간 구걍 가능 냠새도 젛아요,피지 잘 나오고 블랙헤드도 잘 없애줘서 좋아요 피지 나오는거 실시간 구걍 가능 냠새도 젛아요,1.0,51,0.7450980392156863
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입(+20ml),클렌징오일,40000,2026.01.25,5점,,한달이상사용,"인기 스킨케어 제품이라고 들었는데
한번 써보려고 구매했는데 효과 진짜 좋아요!
꾸준히 사용하는 제품이에요!","인기 스킨케어 제품이라고 들었는데
한번 써보려고 구매했는데 효과 진짜 좋아요!
꾸준히 사용하는 제품이에요!",인기 스킨케어 제품이라고 들었는데 한번 써보려고 구매했는데 효과 진짜 좋아요! 꾸준히 사용하는 제품이에요!,1.0,59,0.7627118644067796
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입(+20ml),클렌징오일,40000,2026.01.25,5점,,한달이상사용,자극 없이 순하게 관리할 수 있고 클렌징오일 중에 제일 마음에 들어요,자극 없이 순하게 관리할 수 있고 클렌징오일 중에 제일 마음에 들어요,자극 없이 순하게 관리할 수 있고 클렌징오일 중에 제일 마음에 들어요,1.0,38,0.7368421052631579
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입(+20ml),클렌징오일,40000,2026.01.25,5점,,한달이상사용,엄청 가볍고 순해서 너무 좋더라구요 저는 세정력만 좋으면 상관이 없는 사람이라서 너무너무 좋았습니다.,엄청 가볍고 순해서 너무 좋더라구요 저는 세정력만 좋으면 상관이 없는 사람이라서 너무너무 좋았습니다.,엄청 가볍고 순해서 너무 좋더라구요 저는 세정력만 좋으면 상관이 없는 사람이라서 너무너무 좋았습니다.,1.0,56,0.7678571428571429
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입(+20ml),클렌징오일,40000,2026.01.25,5점,"건성, 쿨톤, 잡티, 미백",,클렌징오일이 다 떨어져서 올리브영에 왔는데 마침 친구가 추천해준 클렌징오일이 있어서 샀습니다. 효과가 좋았으면 좋겠어요!!,클렌징오일이 다 떨어져서 올리브영에 왔는데 마침 친구가 추천해준 클렌징오일이 있어서 샀습니다. 효과가 좋았으면 좋겠어요!!,클렌징오일이 다 떨어져서 올리브영에 왔는데 마침 친구가 추천해준 클렌징오일이 있어서 샀습니다. 효과가 좋았으면 좋겠어요!,1.0,67,0.7761194029850746
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입(+20ml),클렌징오일,40000,2026.01.25,5점,"복합성, 쿨톤, 다크서클",한달이상사용,추천 받고 구매한 제품인데 정말 만족스러워요! 재구매 예정입니다,추천 받고 구매한 제품인데 정말 만족스러워요! 재구매 예정입니다,추천 받고 구매한 제품인데 정말 만족스러워요! 재구매 예정입니다,1.0,35,0.7714285714285715
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입(+20ml),클렌징오일,40000,2026.01.25,4점,,,재구매했습니다 세정력이 완전 좋구 피지도 잘 빠져용 지성이라 매일 쓰긴 부담스럽고 일주일에 2번씩 쓰면 딱 좋아요,재구매했습니다 세정력이 완전 좋구 피지도 잘 빠져용 지성이라 매일 쓰긴 부담스럽고 일주일에 2번씩 쓰면 딱 좋아요,재구매했습니다 세정력이 완전 좋구 피지도 잘 빠져용 지성이라 매일 쓰긴 부담스럽고 일주일에 2번씩 쓰면 딱 좋아요,1.0,63,0.746031746031746
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입(+20ml),클렌징오일,40000,2026.01.25,3점,,한달이상사용,좁쌀 사라진다길래 사봣는데 또옥같음 근데 순하고 자극도 없어서 무난하게 잘 쓰고 잇더여,좁쌀 사라진다길래 사봣는데 또옥같음 근데 순하고 자극도 없어서 무난하게 잘 쓰고 잇더여,좁쌀 사라진다길래 사봣는데 또옥같음 근데 순하고 자극도 없어서 무난하게 잘 쓰고 잇더여,1.0,48,0.7708333333333334
