product_name,product_type,price,날짜,별점,스킨타입,태그,리뷰내용
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.25,5점,정보없음,정보없음,"남자친구가 매번 재구매하는 무난템입니다
특별한 향이 없어서 좋아요"
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.25,5점,정보없음,정보없음,제품을 써보니 수분도좋고 보습도좋아요.향도괜찬아요.
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.24,5점,정보없음,정보없음,처음 써봤는데 로션 자체가 굉장히 촉촉하고 바르고 나면 수분감이 있어 앞으로도 잘 쓸거 같습니다.
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.23,4점,정보없음,정보없음,지성에 가까운 복합성입니다 속건조에 좋다고 해서 샀고 1-2주일 정도 사용해봤는데 저는 속건조가 더 심해져 땡긴다는 느낌을 받았어요 트러블이나 이런건 못 느꼈고 단지 이 제품의 성분과 질이 안 좋은 게 아니라 제 피부타입과는 안 맞았을 뿐이라고 생각됩니다!
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.22,5점,정보없음,정보없음,"순하고 끈적임없어서 남자가 쓰기에 아주좋습니다
추천해요!"
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.22,5점,정보없음,정보없음,정말 순해요 ㅋㅋ 양도 많고 근데 건성이 단독으로 쓰기엔 건조해요
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.21,5점,정보없음,정보없음,한번 써봤는데 겨울 수분 보습에 좋은 타입 같네요 꾸준히 재사용중입니다
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.19,5점,정보없음,정보없음,동생이 지금 쓰고 있는 제품인데 벌써 여러번 쓰거 있는 걸 보니 좋나봐요
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.18,5점,정보없음,한달이상사용,보습에도 좋고 화장전에 발라도 가벼워서 좋아요 ㅎㅎ 몇년째 사용중
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.18,5점,정보없음,"한달이상사용, 재구매",바르면 수분감이 채워지면서 시원한 느낌이 납니다 소량씩 덧발라주는게 좋아여
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.18,3점,정보없음,"한달이상사용, 재구매",항상 쓰는 제품입니다 좋아요 ㅎㅎ 이벤트 자주하면 좋겠어요 ㅎㅎ
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.18,5점,정보없음,정보없음,"남자친구가 겨울아침에 쓰기 좋다네요
촉촉하고 물같은 제형이라 좋대용"
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.17,5점,정보없음,정보없음,순해서 할아버지 편하게 팍팍 쓰시라고 사드렸습니다 정말 로션의 기본ㅇ에요
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.16,5점,정보없음,한달이상사용,유수분 밸런스를 채워주기에 아주 좋은 질감이에요~~~~
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.16,5점,정보없음,한달이상사용,다른제품에 비해 사용 후 얼굴에 유분이 늦게 덜 생기는 것 같아 좋네요 적당량 덜어쓰면 좋아요
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.15,5점,정보없음,한달이상사용,"할아버지 선물로 사드렸어요!! 한번에 바르는걸 좋아하셔서 이걸로 고른건데 되게 좋아하셨어요 얼굴에 끈적한것도 싫어하셔서 잘안챙겨바르시게됬다고 하셨는데 이건 흡수가 빠른지
끈적임이 없다고 맘에 들어하셨습니다
다음에 또 사드리려구요"
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.14,5점,정보없음,정보없음,남자친구 선물.. 뭐 바르는 거 귀찮아해서 그냔 저렴라고 용량 적은 걸로 골랐어요. 순하고 좋아요.
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.14,3점,정보없음,정보없음,촉촉하긴 한데 저 이거 쓰고 피부 뒤집어졋어요!!ㅜㅜㅜㅜ 근데 잘 맞는 사람한텐 좋을 거 같아요
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.14,5점,정보없음,정보없음,발림이 부드럽고 피부에 얇게 밀착되면서 수분감이 자연스럽게 채워져요. 바른 뒤에도 무겁지 않고 촉촉함이 오래 유지돼서 피부가 편안한 느낌이 들어요.
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.14,5점,정보없음,정보없음,아버지가 피부가 거칠고 마른 사막 같아서 사드렸는데 피주 결이 너무 좋아졌어요
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.13,5점,정보없음,한달이상사용,가격대비 용량도 많고 자극적이지 않아서 그냥 매일 쓰기 좋아요
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.13,5점,정보없음,한달이상사용,가볍고 데일리로 쓰기 좋아요 다쓰면 아마 다시 구매할거 같아여
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.12,5점,정보없음,정보없음,촉촉하고 좋아요 선뭏해줬는데 이거 두통째입니다! 좋아용
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.12,4점,정보없음,재구매,한번 쓰고 별 탈 없어서 계속 이것만 쓰고 있어요. 무난하게 쓰기 좋은 제품으로 추천!
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.12,5점,정보없음,정보없음,데일리로 막 바르기에 순하고 좋아요 성분도 좋아서 막 쓰기 좋아요
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.11,5점,정보없음,한달이상사용,"제형이 가볍고 흡수가 빨라서 사계절 내내 쓰기 좋아요.
속당김 없이 촉촉함이 오래가고, 민감한 피부에도 자극 없이 잘 맞았어요.
수분 로션 찾는 분들께 추천하고 싶은 제품이에요.
💛💛"
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.11,5점,정보없음,한달이상사용,진짜 발림성이 좋아요.촉촉하고 트러블도 안나고 가벼워서 피부가 편했어요.
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.11,5점,정보없음,한달이상사용,친오빠한테 사주려고 찾아보다가 발견한 제품인데 괜찮아요
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.11,5점,정보없음,정보없음,자극도 없고 좀 커서 많이 나올까 걱정했는데 많이 나오지도 않고 수부지에 좋은거 같아서 굿굿!!
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.09,2점,정보없음,정보없음,자작나무…. 유명해서 사봤는데 저랑 진짜 안맞아요 쓰자마자 뒤집어짐…
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.07,5점,정보없음,정보없음,가격은 조금 나가는데 확실히 보습 효과는 좋아 보입니다. ㅎㅎ
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.07,5점,정보없음,정보없음,묽은 제형이라서 바르기 좋고 로션 바르기 귀찮아하는 남편이 이거는 매일 잘 쓰고 있습니다.
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.03,3점,정보없음,정보없음,아빠가 무난한 로션 필요하대서 사줬는뎅 무향이고 데일리로 아무때나 바르기 괜찮대용!!민감성+복합성 분들 추천합니당
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.03,5점,정보없음,한달이상사용,남자친두 선물해주기 좋음 무난템이애용 촉촉해서 조ㅛ아용
라운드랩 포 맨 자작나무 수분 로션 200ml,로션,17010,2026.01.02,5점,정보없음,정보없음,자극없이 순해서 남자들이 쓰기 좋아요 자작나무는 순해서 강추
