리뷰ID,제품군,제품명,날짜,가격,스킨타입,태그,대분류,소분류,정보밀도(대분류수),별점,긍부정,감성점수,매칭키워드,추출문장,clean_text,리뷰_평균점수,전체_매칭키워드
SH_251125_001,세럼,아누아 피디알엔 히알루론산 캡슐 100 세럼,2025.11.25,27500,"건성, 여름쿨톤, 미백, 탄력",,구매 가치/편의,가성비/가격,1,4점,긍정,1,대용량,건성한텐 좋아요 사진은 대용량50ml샀다가 리필 채운거에요,수분세럼으론 좋지만 pdrn 100ppm 들어가있어요 0.01임 과장광고 개쩜 바르는 리쥬란이니 뭐니 말도안되는 소리 그만하시구연 기능성 생각하고 사면 걍 원효대사 해골물 되는거여 그냥 수분세럼용으로 매일 쓰는데 쫀쫜한 느낌이 있어서 건성한텐 좋아요 사진은 대용량50ml샀다가 리필 채운거에요,1.0,대용량
SH_251201_001,세럼,아누아 피디알엔 히알루론산 캡슐 100 세럼,2025.12.01,27500,"건성, 쿨톤, 잡티, 트러블",,피부 자극,"순함/저자극, 자극/부작용",1,5점,긍정,3,"순해, 자극, 자극없",자극없이 순해서 좋아요 계속 쓰고 있습니다,자극없이 순해서 좋아요 계속 쓰고 있습니다! 짱짱,3.0,"순해, 자극, 자극없"
SH_251201_002,세럼,아누아 피디알엔 히알루론산 캡슐 100 세럼,2025.12.01,27500,,재구매,피부 고민 해결,미백/광채,2,5점,보통,0,칙칙,안바르면 칙칙해보이고,사용해보고 너무 조아서 딱 떨어질 타이밍에 또 한번 주문해서 사용하고 있어요 바를때는 잘몰랐는데 안바르면 칙칙해보이고 어두워 보이고 효과가 아주 좋았던 화장품이예요 그래서 재주문해서 잘쓰고있어요,2.5,"칙칙, 화장"
SH_251201_002,세럼,아누아 피디알엔 히알루론산 캡슐 100 세럼,2025.12.01,27500,,재구매,구매 가치/편의,상황/편의,2,5점,긍정,5,화장,효과가 아주 좋았던 화장품이예요 그래서,사용해보고 너무 조아서 딱 떨어질 타이밍에 또 한번 주문해서 사용하고 있어요 바를때는 잘몰랐는데 안바르면 칙칙해보이고 어두워 보이고 효과가 아주 좋았던 화장품이예요 그래서 재주문해서 잘쓰고있어요,2.5,"칙칙, 화장"
SH_251201_003,세럼,아누아 피디알엔 히알루론산 캡슐 100 세럼,2025.12.01,27500,,,수분/유분 밸런스,보습/속건조,1,5점,긍정,1,촉촉,촉촉하네요 재주문 할께요,광고가 너무 뜨길래 얼마나 좋을까 하고 주문했는데 너무 잘산거 같아요 너무순하고 촉촉하네요 재주문 할께요,1.0,촉촉
SH_251201_004,세럼,아누아 피디알엔 히알루론산 캡슐 100 세럼,2025.12.01,27500,,"한달이상사용, 재구매",구매 가치/편의,가성비/가격,1,5점,긍정,3,"가격, 착한",좋아요 속수분을 채워주는 느낌이라 좋아요 가격도 이정도면 진짜 착한것,좋아요 속수분을 채워주는 느낌이라 좋아요 가격도 이정도면 진짜 착한것,3.0,"가격, 착한"
SH_251201_005,세럼,아누아 피디알엔 히알루론산 캡슐 100 세럼,2025.12.01,27500,,한달이상사용,"수분/유분 밸런스, 제형/사용감","보습/속건조, 흡수/발림성",2,3점,보통,0,"건조, 묽은, 속건조, 제형",엄청 묽은 제형에 비해 마무리감은 무거움 한 번에 속건조가 해결되는 것도 아닌데,엄청 묽은 제형에 비해 마무리감은 무거움 한 번에 속건조가 해결되는 것도 아닌데 그렇다고 덧바르기엔 유분이 겉돌아서 부담스러움 . 피디알엔 히알루론산 세럼인데 정작 피디알엔은 개미똥만큼 들어있고 히알루론 세럼은 이미 훨씬 좋은 게 널렷는디 이 세럼의 추구미가 대체 먼지 모르겟슨,0.0,"건조, 묽은, 속건조, 유분, 제형"
SH_251201_005,세럼,아누아 피디알엔 히알루론산 캡슐 100 세럼,2025.12.01,27500,,한달이상사용,수분/유분 밸런스,유분/피지,2,3점,보통,0,유분,덧바르기엔 유분이 겉돌아서,엄청 묽은 제형에 비해 마무리감은 무거움 한 번에 속건조가 해결되는 것도 아닌데 그렇다고 덧바르기엔 유분이 겉돌아서 부담스러움 . 피디알엔 히알루론산 세럼인데 정작 피디알엔은 개미똥만큼 들어있고 히알루론 세럼은 이미 훨씬 좋은 게 널렷는디 이 세럼의 추구미가 대체 먼지 모르겟슨,0.0,"건조, 묽은, 속건조, 유분, 제형"
SH_251201_006,세럼,아누아 피디알엔 히알루론산 캡슐 100 세럼,2025.12.01,27500,"복합성, 웜톤, 미백, 주름",한달이상사용,구매 가치/편의,추천/재구매,1,5점,긍정,4,재구매,정말 잘 사용하고있는 제품이에요 다쓰면 또 재구매예정템입니다,한달동안 사용하고있는데 정말 잘 사용하고있는 제품이에요 다쓰면 또 재구매예정템입니다,4.0,재구매
SH_251201_007,세럼,아누아 피디알엔 히알루론산 캡슐 100 세럼,2025.12.01,27500,,한달이상사용,"구매 가치/편의, 피부 자극","상황/편의, 순함/저자극",3,5점,부정,-1,"민감, 순한, 안심, 화장","좋네요 일단 제 피부타입은 수분부족형 지성피부이고, 민감성이라 화장품 아무거나 못써요순한 성분이 들어간 제품은 제 피부에 잘 맞는 편이라 안심하고","한달 이상 사용후기 올려요아누아 세럼은 처음 써보는데 좋네요 일단 제 피부타입은 수분부족형 지성피부이고, 민감성이라 화장품 아무거나 못써요순한 성분이 들어간 제품은 제 피부에 잘 맞는 편이라 안심하고 써요아누아 마스크 시트팩도 잘 맞아서 가끔 사서 쓰곤 했답니다 이번에 세일해서 사게되었고,세럼이 듬뿍 있는 점이 좋았어요 피부관리 제대로 하는 기분이라 좋았고,세럼 바르면 피부가 촉촉해지고 미리 쟁여둔 마스크팩 마스크시트로 수딩효과까지 있어서 매우 잘 사용했습니다 시트팩은 보통 주1회정도 하는 편인데, 민감할때는 더 자주 사용하기도 해요세럼이랑 마스크팩 둘다 쓰기 좋아서 다음번에도 재구매 할 의향 충분히 있습니다부작용없이 잘쓰고 있어요",1.2,"민감, 세일, 순한, 안심, 재구매, 촉촉, 향, 화장"
