리뷰ID,제품군,제품명,날짜,가격,스킨타입,태그,대분류,소분류,정보밀도(대분류수),별점,긍부정,감성점수,매칭키워드,추출문장,clean_text,리뷰_평균점수,전체_매칭키워드
TR_251210_001,토너,라이스 70 글로우 밀키 토너 250ml,2025.12.10,-,,,수분/유분 밸런스,보습/속건조,2,5점,보통,0,건조,얼굴이 너무 건조해서,얼굴이 너무 건조해서 화장을 해도 화장이 금방 떠서 스트레스 받더라구요.그래서 계속 찾아보다가 이 제품을 찾게되어 써봤는데 보습도 너무 좋고 최고입니당,0.7,"건조, 보습, 화장"
TR_251210_001,토너,라이스 70 글로우 밀키 토너 250ml,2025.12.10,-,,,구매 가치/편의,상황/편의,2,5점,보통,0,화장,화장을 해도 화장이 금방 떠서,얼굴이 너무 건조해서 화장을 해도 화장이 금방 떠서 스트레스 받더라구요.그래서 계속 찾아보다가 이 제품을 찾게되어 써봤는데 보습도 너무 좋고 최고입니당,0.7,"건조, 보습, 화장"
TR_251210_001,토너,라이스 70 글로우 밀키 토너 250ml,2025.12.10,-,,,수분/유분 밸런스,보습/속건조,2,5점,긍정,2,보습,보습도 너무 좋고,얼굴이 너무 건조해서 화장을 해도 화장이 금방 떠서 스트레스 받더라구요.그래서 계속 찾아보다가 이 제품을 찾게되어 써봤는데 보습도 너무 좋고 최고입니당,0.7,"건조, 보습, 화장"
TR_251216_001,토너,라이스 70 글로우 밀키 토너 250ml,2025.12.16,-,"건성, 웜톤, 잡티, 주름",,수분/유분 밸런스,보습/속건조,1,5점,보통,0,건조,건성이라 뭘발라도 건조한데,건성이라 뭘발라도 건조한데 이거쓰고나서 진짜 보습이 탄탄해진 느낌이에요!,1.0,"건조, 보습"
TR_251216_001,토너,라이스 70 글로우 밀키 토너 250ml,2025.12.16,-,"건성, 웜톤, 잡티, 주름",,수분/유분 밸런스,보습/속건조,1,5점,긍정,2,보습,진짜 보습이 탄탄해진 느낌이에요,건성이라 뭘발라도 건조한데 이거쓰고나서 진짜 보습이 탄탄해진 느낌이에요!,1.0,"건조, 보습"
TP_250802_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.08.02,-,,,수분/유분 밸런스,유분/피지,2,5점,보통,0,"유분, 유분기",수분만 채워주는게 아니라 뭔가 유분기도 있는느낌 나쁜의미가 아니라 피부가 되게 맨들해져서,수분만 채워주는게 아니라 뭔가 유분기도 있는느낌 나쁜의미가 아니라 피부가 되게 맨들해져서 오히려 조아용 미백은 잘모르겠음 걍 쓸만해요,0.0,"미백, 유분, 유분기"
TP_250802_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.08.02,-,,,피부 고민 해결,미백/광채,2,5점,보통,0,미백,오히려 조아용 미백은 잘모르겠음 걍 쓸만해요,수분만 채워주는게 아니라 뭔가 유분기도 있는느낌 나쁜의미가 아니라 피부가 되게 맨들해져서 오히려 조아용 미백은 잘모르겠음 걍 쓸만해요,0.0,"미백, 유분, 유분기"
TP_250816_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.08.16,-,,,피부 자극,"순함/저자극, 자극/부작용",1,5점,긍정,2,"순하게, 자극",자극이 없고 순하게 좋네요,자극이 없고 순하게 좋네요. 더 꾸준하게 사용해봐야 알겠지만 지금까지는 좋아요.,2.0,"순하게, 자극"
TP_250824_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.08.24,-,"건성, 여름쿨톤, 홍조",,제형/사용감,"끈적임/밀림, 흡수/발림성",2,5점,긍정,3,"끈적, 점성",제가 딱 좋아하는 끈적거리지 않지만 물 x 점성있는 토너,제가 딱 좋아하는 끈적거리지 않지만 물 x 점성있는 토너! 달달한 복숭아향이 좋아서 바를때마다 힐링되는 것 같아요. 앰플도 괜찮게 썼는데 한통 다 비우고 또 구매할 지 고민해보겠습니다,2.0,"끈적, 점성, 향"
TP_250824_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.08.24,-,"건성, 여름쿨톤, 홍조",,구매 가치/편의,상황/편의,2,5점,긍정,1,향,달달한 복숭아향이 좋아서 바를때마다 힐링되는 것 같아요,제가 딱 좋아하는 끈적거리지 않지만 물 x 점성있는 토너! 달달한 복숭아향이 좋아서 바를때마다 힐링되는 것 같아요. 앰플도 괜찮게 썼는데 한통 다 비우고 또 구매할 지 고민해보겠습니다,2.0,"끈적, 점성, 향"
